,index,prompt,class,environment,weather,amount
4439,4439,"

A red truck submerged in the murky waters of a flooded bridge during heavy rain.
A rusty old truck teetering on the edge of a crumbling bridge in the pouring rain.
A blue semi-",truck,bridge,heavy_rain,Multiple
4440,4440,"

A single truck in a sun-kissed tunnel.",truck,tunnel,sunny,Single
4441,4441,"

Two trucks in a sunlit tunnel.",truck,tunnel,sunny,Two
4442,4442,Three trucks in a sunlit tunnel.,truck,tunnel,sunny,Three
4443,4443,"

A red truck, shiny from the sun, parked in a dimly lit tunnel.

A blue semi-truck, its reflection glinting off the water puddles on the tunnel floor, surrounded by sunbeams filter",truck,tunnel,sunny,Multiple
4444,4444,"

A single truck in a cloudy tunnel, its headlights cutting through the gray fog. The metal body glimmers with a faint sheen of rain, the tires leaving wet streaks on the asphalt. The tunnel walls are",truck,tunnel,cloudy,Single
4445,4445,"

Two trucks in a cloudy tunnel.",truck,tunnel,cloudy,Two
4446,4446,Three trucks in a cloudy tunnel.,truck,tunnel,cloudy,Three
4447,4447,"

A red truck, engulfed in a cloudy tunnel, its headlights piercing through the fog. A blue truck, hidden in the misty depths of the tunnel, its taillights barely visible. A yellow truck,",truck,tunnel,cloudy,Multiple
4448,4448,"

A single truck in a dimly lit tunnel, raindrops pounding relentlessly on its metal body, water cascading down in rivulets, creating a mesmerizing spectacle of light and sound. The truck'",truck,tunnel,rainy,Single
4449,4449,"

Two trucks in a tunnel, rain pouring down. The water collects in puddles on the tunnel floor, reflecting the dim light from the overhead lamps. The trucks' headlights cut through the downpour, casting",truck,tunnel,rainy,Two
4450,4450,"Three trucks in a tunnel, rain pouring down.",truck,tunnel,rainy,Three
4451,4451,"

A red truck, engulfed in a torrential downpour, navigates through the dimly lit tunnel. Water cascades from its wheels, creating ripples on the slick concrete floor. The truck's head",truck,tunnel,rainy,Multiple
4452,4452,"

A single truck in a tunnel, surrounded by torrential rain and thunderous claps of thunder. The water cascades down the tunnel walls, creating a waterfall effect. The truck's headlights cut through the darkness,",truck,tunnel,stormy,Single
4453,4453,"

Two trucks in a tunnel during a stormy weather. The rain pours down in torrents, illuminating the water droplets that cling to the tunnel walls in a shimmering display. The trucks, their head",truck,tunnel,stormy,Two
4454,4454,"Three trucks in a tunnel, stormy weather.",truck,tunnel,stormy,Three
4455,4455,"

A red semi-truck, engulfed in a torrential downpour, navigates through the dimly lit tunnel. Water cascades from its wheels, creating a mini waterfall effect. The truck's head",truck,tunnel,stormy,Multiple
4456,4456,"

A single truck in a snowy tunnel, headlights cutting through the white haze. The engine hums softly against the silence, exhaust pipes puffing out plumes of steamy smoke. The tunnel walls are slick with",truck,tunnel,snowy,Single
4457,4457,"

Two trucks in a snowy tunnel.",truck,tunnel,snowy,Two
4458,4458,Three trucks in a snowy tunnel.,truck,tunnel,snowy,Three
4459,4459,"

A red truck, encased in a snowy tunnel, its tires spinning helplessly.
A blue semi-truck, swallowed by a blizzard in an underground passageway.
A yellow delivery truck, stranded amidst",truck,tunnel,snowy,Multiple
4460,4460,"

A single truck in a tunnel, enshrouded by fog. The vehicle's headlights pierce the dense mist, casting an eerie glow on the damp, gray walls. The fog clings to the truck's body",truck,tunnel,foggy,Single
4461,4461,"

Two trucks in a tunnel, shrouded by fog.",truck,tunnel,foggy,Two
4462,4462,Three trucks in a tunnel shrouded by fog.,truck,tunnel,foggy,Three
4463,4463,"

A truck shrouded in fog, hidden in the tunnel's depths.",truck,tunnel,foggy,Multiple
4464,4464,"

A single truck in a dimly lit tunnel, surrounded by towering concrete walls. The wind howls outside, causing the tunnel entrance to sway slightly. The truck's headlights cast an orange glow on the damp, mossy",truck,tunnel,windy,Single
4465,4465,"

Two trucks in a tunnel, weathered by wind.",truck,tunnel,windy,Two
4466,4466,"Three trucks in a dimly lit tunnel, the wind howling outside.",truck,tunnel,windy,Three
4467,4467,"

A red truck, engulfed in a swirling tunnel of orange and grey sandstorm, its tires spinning helplessly.

A blue semi-truck, silhouetted against the backdrop of a sunset, its",truck,tunnel,windy,Multiple
4468,4468,"

A single truck in a clear tunnel, surrounded by vibrant green foliage on the walls. The sunlight filters in through the entrance, casting long shadows on the vehicle's metallic surface. The engine hums softly in the still",truck,tunnel,clear,Single
4469,4469,"

Two trucks in a clear tunnel.",truck,tunnel,clear,Two
4470,4470,Three trucks in a clear tunnel.,truck,tunnel,clear,Three
4471,4471,"

A red truck, parked in a dimly lit tunnel, surrounded by stalactites and stalagmites, with a clear, starry sky above.

A blue semi-truck, idling in a long",truck,tunnel,clear,Multiple
4472,4472,"

A single truck in a dimly lit tunnel, surrounded by damp stone walls. The air outside holds a fine drizzle, misting the windshield and leaving droplets on the truck's metallic surface. The truck",truck,tunnel,drizzle,Single
4473,4473,"

Two trucks in a tunnel, shrouded in a drizzle. The metallic sheen of the vehicles glistened under the dim light, water droplets forming on their surfaces. The tunnel walls were slick with moisture",truck,tunnel,drizzle,Two
4474,4474,"Three trucks in a dimly lit tunnel, raindrops pattering against the concrete walls.",truck,tunnel,drizzle,Three
4475,4475,"

A red truck, engulfed in a misty drizzle, parked in a dimly lit tunnel. A blue semi-truck, its headlights flickering, following closely behind. The rainwater collecting on the truck'",truck,tunnel,drizzle,Multiple
4476,4476,"

A single truck in a dimly lit tunnel, water droplets cascading from the ceiling, heavy rain pounding against the tunnel walls, muddy puddles on the ground, the truck's headlights cutting through the",truck,tunnel,heavy_rain,Single
4477,4477,"

Two trucks in a dimly lit tunnel during heavy rain. Water cascades down the walls, creating a mesmerizing effect as it mixes with the truck's headlights. The trucks' tires leave long, muddy trails",truck,tunnel,heavy_rain,Two
4478,4478,Three trucks in a dimly lit tunnel during heavy rain.,truck,tunnel,heavy_rain,Three
4479,4479,"

A red truck submerged in a flooded tunnel during heavy rain.
A blue semi-truck stuck in a dark, rainy tunnel.
A yellow delivery truck stalled in a long, wet tunnel during a heavy down",truck,tunnel,heavy_rain,Multiple
4480,4480,"

A single truck in a sunny roundabout. The truck's metallic body shines under the bright sun, casting long, defined shadows on the asphalt. The roundabout is adorned with lush, green grass",truck,roundabout,sunny,Single
4481,4481,"

Two trucks in a sunny roundabout. One is red, the other is blue.",truck,roundabout,sunny,Two
4482,4482,Three trucks in a sunny roundabout.,truck,roundabout,sunny,Three
4483,4483,"

A red truck with a trailer, turning right in a sunlit roundabout. A blue pickup truck and a yellow delivery truck waiting at the intersection. The sun casting long shadows on the asphalt.",truck,roundabout,sunny,Multiple
4484,4484,"

A single truck in a roundabout, surrounded by lush greenery. The sky is overcast with thick, grey clouds, casting an eerie glow over the scene. The truck's metallic surface reflects the muted light",truck,roundabout,cloudy,Single
4485,4485,"

Two trucks in a roundabout under cloudy weather.",truck,roundabout,cloudy,Two
4486,4486,Three trucks in a roundabout under cloudy weather.,truck,roundabout,cloudy,Three
4487,4487,"

A cloudy roundabout, a red truck with yellow stripes turns left, followed by a blue semi-truck with smokestacks.",truck,roundabout,cloudy,Multiple
4488,4488,"

A single truck in a roundabout during a rainy day. The truck's metallic surface reflects the dim light, creating a shimmering effect as raindrops hit it. The tires spin slowly, leaving wet trails on the",truck,roundabout,rainy,Single
4489,4489,"

Two trucks in a roundabout during rainy weather. Trucks, slick with rain, maneuver around the circle, tires leaving wet trails behind them. Raindrops pelt the windshields, creating a rhythmic",truck,roundabout,rainy,Two
4490,4490,Three trucks in a roundabout during rainy weather.,truck,roundabout,rainy,Three
4491,4491,"

A red truck in a roundabout during a rainy day, surrounded by puddles and slick roads. A blue truck with mud splatters joins the circle, creating ripples in the water. Green trees in the background",truck,roundabout,rainy,Multiple
4492,4492,"

A single truck in a roundabout during a stormy weather, tires spinning on the wet asphalt, raindrops pounding against its metal body, windshield wipers frantically clearing the windscreen, headlights flick",truck,roundabout,stormy,Single
4493,4493,"

Two trucks in a roundabout during a stormy weather. The rain pours down in sheets, obscuring the view of the trucks' colors. The wind howls, causing the trees to sway violently. The roundabout is s",truck,roundabout,stormy,Two
4494,4494,Three trucks in a roundabout during a stormy weather.,truck,roundabout,stormy,Three
4495,4495,"

A red semi-truck in a roundabout during a stormy weather, surrounded by puddles and splashes of rainwater. A green pickup truck with muddy tires joins the roundabout, creating ripples in the",truck,roundabout,stormy,Multiple
4496,4496,"

A single truck in a roundabout, shrouded by swirling snowflakes.",truck,roundabout,snowy,Single
4497,4497,"

Two trucks in a roundabout, snowy weather. White trucks with red stripes, tires crunching on the icy pavement. Snowflakes swirling around them, creating a winter wonderland scene.",truck,roundabout,snowy,Two
4498,4498,"Three trucks in a roundabout, snowy weather.",truck,roundabout,snowy,Three
4499,4499,"

A red truck with snow-covered tires in a winter roundabout, surrounded by trees shedding their white snowy leaves.",truck,roundabout,snowy,Multiple
4500,4500,"

A single truck in a roundabout, shrouded by foggy weather. The vehicle's metallic surface reflects the dim light, creating an ethereal glow. The tires spin softly on the damp asphalt, leaving faint",truck,roundabout,foggy,Single
4501,4501,"

Two trucks in a roundabout, shrouded in fog.",truck,roundabout,foggy,Two
4502,4502,"

Three trucks in a roundabout, shrouded in fog.",truck,roundabout,foggy,Three
4503,4503,"

A truck circling a roundabout in the fog, its headlights cutting through the mist, leaving trails of light behind. The color of the truck is a muted olive green, merging with the surrounding fog. The tires make",truck,roundabout,foggy,Multiple
4504,4504,"

A single truck in a roundabout, weathered by wind. The metal body shines with flecks of rust, the tires worn and deflated. The wind whips through the air, ruffling the tattered flags at",truck,roundabout,windy,Single
4505,4505,"

Two trucks in a roundabout during a windy day. The tires of the first truck spin as it tries to maintain its position, while the second truck leans precariously, its cargo shifting in the gusts. The trees",truck,roundabout,windy,Two
4506,4506,Three trucks in a roundabout during a windy day.,truck,roundabout,windy,Three
4507,4507,"

A red semi-truck in a roundabout amidst wind-whipped autumn leaves.
A blue garbage truck spinning in a roundabout during a sandstorm.
A yellow delivery truck in a roundabout surrounded by swirling snow",truck,roundabout,windy,Multiple
4508,4508,"

A single truck in a roundabout, under a clear sky. The truck's metallic body shines in the sunlight, reflecting off the asphalt. The roundabout is adorned with lush green grass and color",truck,roundabout,clear,Single
4509,4509,"

Two trucks in a roundabout under clear skies.",truck,roundabout,clear,Two
4510,4510,Three trucks in a roundabout under clear skies.,truck,roundabout,clear,Three
4511,4511,"

A red truck with a trailer, turning right in a clear roundabout. A blue pickup truck parked at the curb, casting a long shadow. A yellow delivery truck idling at the traffic light, its engine humming softly.",truck,roundabout,clear,Multiple
4512,4512,"

A single truck in a roundabout during a drizzle, its metallic surface reflecting the dim light, tires splashing water as it turns. The truck's cab is a deep blue, while the trailer is a vibrant",truck,roundabout,drizzle,Single
4513,4513,"

Two trucks in a roundabout during drizzle. Trucks are different colors: one is blue, the other is red. Raindrops glisten on their metallic surfaces. Tires spin slowly as they navigate the circle.",truck,roundabout,drizzle,Two
4514,4514,Three trucks in a roundabout during drizzle.,truck,roundabout,drizzle,Three
4515,4515,"

A red truck in a roundabout during a drizzle, surrounded by vibrant autumn foliage.
A blue semi-truck in a circular intersection, with a light rain falling from the gray sky.
A yellow delivery",truck,roundabout,drizzle,Multiple
4516,4516,"

A single truck in a roundabout during heavy rain, its tires leaving deep grooves in the wet asphalt. The truck's headlights cut through the downpour, illuminating the slick surface and the surrounding p",truck,roundabout,heavy_rain,Single
4517,4517,"

Two trucks in a roundabout during heavy rain. Colorful umbrellas open above each driver as they carefully navigate the wet roads. Raindrops splash against the windshields, creating a rhythmic soundtrack. The",truck,roundabout,heavy_rain,Two
4518,4518,Three trucks in a roundabout during heavy rain.,truck,roundabout,heavy_rain,Three
4519,4519,"

A red truck with muddy tires in a roundabout during heavy rain, surrounded by puddles and splashing water. A yellow umbrella next to it, trying to shield it from the downpour. A blue semi-",truck,roundabout,heavy_rain,Multiple
4520,4520,"

A single red pickup truck parked on the side of a suburban street under a clear, sunny sky.",truck,suburban_area,sunny,Single
4521,4521,"

Two trucks in a sunny suburban area.",truck,suburban_area,sunny,Two
4522,4522,Three trucks in a sunlit suburban area.,truck,suburban_area,sunny,Three
4523,4523,"

A red pickup truck parked on the side of a tree-lined suburban street under a clear, sunny sky. A blue delivery truck with a sunroof unloading crates at a curbside in a quiet residential neighborhood",truck,suburban_area,sunny,Multiple
4524,4524,"

A single truck in the suburban area, surrounded by houses, under a cloudy sky. The truck's body is a muted blue, and its tires are dark and wet from the recent rain. The windows are tinted,",truck,suburban_area,cloudy,Single
4525,4525,"

Two trucks in a suburban area with a cloudy weather.",truck,suburban_area,cloudy,Two
4526,4526,Three trucks in a suburban area with a cloudy sky.,truck,suburban_area,cloudy,Three
4527,4527,"

A cloudy suburban afternoon, a red pickup truck parked on the curb, its tires splashed with rainwater. A blue station wagon with a sunroof, its windows fogged up, sits next to it. A",truck,suburban_area,cloudy,Multiple
4528,4528,"

A single red truck parked under a tree in the suburban area during a rainy day.",truck,suburban_area,rainy,Single
4529,4529,"

Two trucks in the suburban area during rainy weather.",truck,suburban_area,rainy,Two
4530,4530,Three trucks in a suburban area during rainy weather.,truck,suburban_area,rainy,Three
4531,4531,"

A red pickup truck submerged in a puddle, raindrops forming ripples on its surface in a suburban area.

A rusty old truck parked under a tree, leaves dripping water onto its hood",truck,suburban_area,rainy,Multiple
4532,4532,"

A single truck in the suburban area, weathered by the storm, its paint chipped and rusted, tires slick with rainwater, windshield wipers swiping back and forth in the relentless downp",truck,suburban_area,stormy,Single
4533,4533,"

Two trucks in a suburban area during a stormy weather.",truck,suburban_area,stormy,Two
4534,4534,Three trucks in a suburban area during a stormy weather.,truck,suburban_area,stormy,Three
4535,4535,"

A red pickup truck submerged in a flooded suburban street during a storm.
A rusty old truck abandoned in a suburban area, surrounded by dark storm clouds.
A yellow delivery truck stuck in a muddy",truck,suburban_area,stormy,Multiple
4536,4536,"

A single red truck in a suburban area, surrounded by snow-covered houses and trees. The truck's tires are heavily treaded, ready for the snowy terrain. The cab is coated in a fresh layer of snow",truck,suburban_area,snowy,Single
4537,4537,"

Two trucks in a suburban area, coated in a thick layer of snow.",truck,suburban_area,snowy,Two
4538,4538,"Three trucks in a tranquil suburban area, coated in a thick layer of snow.",truck,suburban_area,snowy,Three
4539,4539,"

A red truck buried in a snowdrift, suburban area.
A blue pickup truck parked on a snowy suburban street.
A snowplow truck clearing the path in a suburban neighborhood.
A green delivery",truck,suburban_area,snowy,Multiple
4540,4540,"

A single truck in the suburban area, shrouded in fog, its headlights piercing through the mist, paint job a muted gray.",truck,suburban_area,foggy,Single
4541,4541,"

Two trucks in the suburban area shrouded in fog.",truck,suburban_area,foggy,Two
4542,4542,Three trucks in the suburban area shrouded in fog.,truck,suburban_area,foggy,Three
4543,4543,"

A foggy suburban area with a rust-colored truck hidden among the trees.",truck,suburban_area,foggy,Multiple
4544,4544,"

A single red pickup truck in the suburban area, weathered by the wind. The bed of the truck is filled with autumn leaves, rustling in the gusts. The cab is coated in a fine layer of dust",truck,suburban_area,windy,Single
4545,4545,"

Two trucks in a suburban area with windy weather.",truck,suburban_area,windy,Two
4546,4546,Three trucks in a windy suburban area.,truck,suburban_area,windy,Three
4547,4547,"

A red pickup truck in a suburban area with windy weather, leaves swirling around it.
A blue semi-truck in a quiet suburban area, wind gusts making its reflection dance on the pavement",truck,suburban_area,windy,Multiple
4548,4548,"

A single red truck parked on a tree-lined suburban street under clear skies.",truck,suburban_area,clear,Single
4549,4549,Two trucks in the suburban area with clear weather.,truck,suburban_area,clear,Two
4550,4550,Three trucks in a tranquil suburban area with clear weather.,truck,suburban_area,clear,Three
4551,4551,"

Clear day in the suburban area. A red truck parked on the side of the road, next to a green tree. A blue truck unloading groceries in front of a house. A yellow truck driving through the quiet neighborhood.",truck,suburban_area,clear,Multiple
4552,4552,"

A single red pickup truck parked on the curb in the suburban area, windshield wipers swiping back and forth in the drizzle. The truck's tires are splashed with rainwater, reflecting",truck,suburban_area,drizzle,Single
4553,4553,"

Two trucks in a suburban area during drizzle. Color one is blue with gray patches, the other is red with yellow stripes.",truck,suburban_area,drizzle,Two
4554,4554,Three trucks in a suburban area during a drizzle.,truck,suburban_area,drizzle,Three
4555,4555,"

A red pickup truck parked on the curb in a suburban neighborhood during a drizzle.
A blue semi-truck idling at a construction site in the suburbs amidst light drizzle.
A green",truck,suburban_area,drizzle,Multiple
4556,4556,"

A single red truck parked under a tree in the suburban area during heavy rain. The raindrops hit the truck's metal body with a rhythmic ping, creating a soothing melody. The tree's leaves sway",truck,suburban_area,heavy_rain,Single
4557,4557,Two trucks in the suburban area during heavy rain.,truck,suburban_area,heavy_rain,Two
4558,4558,Three trucks in a suburban area during heavy rain.,truck,suburban_area,heavy_rain,Three
4559,4559,"

A red pickup truck submerged in a puddle, tires spinning in the heavy rain of the suburban area.
A rusty blue truck abandoned on the side of the road, rainwater cascading off its wind",truck,suburban_area,heavy_rain,Multiple
4560,4560,"

A red construction truck with a crane on the back, parked on a dusty road under the bright sun.",truck,construction_zone,sunny,Single
4561,4561,"

Two trucks in a construction zone under a sunny sky.",truck,construction_zone,sunny,Two
4562,4562,Three trucks in a vibrant construction zone under a sunny sky.,truck,construction_zone,sunny,Three
4563,4563,"

A red construction truck in a sunny desert landscape, surrounded by golden sand dunes and cacti.
A blue construction truck parked next to a green forest, with sun rays filtering through the leaves.
A yellow construction",truck,construction_zone,sunny,Multiple
4564,4564,"

A single truck in the construction zone, surrounded by piles of gravel and concrete, under a cloudy sky with occasional drizzle. The truck's body is a dull gray, and its tires are caked with mud.",truck,construction_zone,cloudy,Single
4565,4565,"

Two trucks in a construction zone with an overcast sky.",truck,construction_zone,cloudy,Two
4566,4566,Three trucks in a construction zone with cloudy weather.,truck,construction_zone,cloudy,Three
4567,4567,"

A red construction truck in a cloudy construction zone.
A blue and yellow construction truck with cranes in a cloudy construction site.
A green construction truck with a loader in a cloudy construction zone.
A construction truck with",truck,construction_zone,cloudy,Multiple
4568,4568,"

A red construction truck in a rainy construction zone.",truck,construction_zone,rainy,Single
4569,4569,"

Two trucks in a construction zone during rainy weather.",truck,construction_zone,rainy,Two
4570,4570,Three trucks in a construction zone under a rainy sky.,truck,construction_zone,rainy,Three
4571,4571,"

A red construction truck in a rainy construction zone.
A yellow bulldozer and a blue dump truck in a rainy construction zone.
A green crane and a rusty pickup truck in a rainy construction zone",truck,construction_zone,rainy,Multiple
4572,4572,"

A single truck in the construction zone, battered by a stormy downpour. Mud splatters cover its metallic surface, and the windshield is streaked with rain. The tires churn up mud as they",truck,construction_zone,stormy,Single
4573,4573,"

Two trucks in a construction zone during a stormy weather.",truck,construction_zone,stormy,Two
4574,4574,Three trucks in a construction zone amidst stormy weather.,truck,construction_zone,stormy,Three
4575,4575,"

A red construction truck in a stormy gravel pit, surrounded by piles of gray concrete blocks.
A yellow bulldozer truck with shovel attached, submerged in a muddy puddle during a storm",truck,construction_zone,stormy,Multiple
4576,4576,"

A red construction truck in a snowy landscape.",truck,construction_zone,snowy,Single
4577,4577,"

Two trucks in a construction zone, covered in snow.",truck,construction_zone,snowy,Two
4578,4578,Three trucks in a snowy construction zone.,truck,construction_zone,snowy,Three
4579,4579,"

A red truck in a snowy construction zone.
A blue and yellow construction truck buried in snow.
A green army truck with snow piled high on its tires in a construction zone.
A snowplow truck clearing the road",truck,construction_zone,snowy,Multiple
4580,4580,"

A single truck in the construction zone, shrouded by fog. Its metallic body glimmers through the mist, the headlights casting eerie beams in the dense fog. The foggy air clings to the truck'",truck,construction_zone,foggy,Single
4581,4581,"

Two trucks in a construction zone shrouded in fog.",truck,construction_zone,foggy,Two
4582,4582,Three trucks in a construction zone shrouded in fog.,truck,construction_zone,foggy,Three
4583,4583,"

A foggy construction zone with three trucks.",truck,construction_zone,foggy,Multiple
4584,4584,"

A red construction truck in a windy construction zone.",truck,construction_zone,windy,Single
4585,4585,"

Two trucks in a construction zone with windy weather. Trucks are rust-colored and have cranes attached to them. Debris flies around as wind gusts. One truck's tires are kicked up by the wind, creating",truck,construction_zone,windy,Two
4586,4586,Three trucks in a construction zone under a windy sky.,truck,construction_zone,windy,Three
4587,4587,"

A red construction truck in a windy desert, surrounded by golden sand dunes.
A blue construction truck in a windy forest, with autumn leaves flying around.
A green construction truck in a windy industrial area, amidst",truck,construction_zone,windy,Multiple
4588,4588,"

A red construction truck with a crane on the back, parked on a gravel road in the middle of a sun-kissed desert. Clear weather.",truck,construction_zone,clear,Single
4589,4589,"

Two trucks in a construction zone with clear weather.",truck,construction_zone,clear,Two
4590,4590,Three trucks in a construction zone with a clear sky.,truck,construction_zone,clear,Three
4591,4591,"

A red construction truck in a vibrant orange desert, under clear skies.
A blue truck in a lush green forest, with the sun shining brightly overhead.
A green truck in a snowy mountain range, with the",truck,construction_zone,clear,Multiple
4592,4592,"

A red construction truck in a gravel lot, surrounded by cones and construction equipment, during a light drizzle. The raindrops hit the metal body with a soft pinging sound, and the windshield wipers sw",truck,construction_zone,drizzle,Single
4593,4593,"

Two trucks in a construction zone during drizzle. Colorful umbrellas shield workers from the rain as they load materials onto the trucks. The trucks' tires churn up muddy water, creating temporary puddles on the",truck,construction_zone,drizzle,Two
4594,4594,Three trucks in a construction zone during drizzle.,truck,construction_zone,drizzle,Three
4595,4595,"

A red construction truck in a muddy yard during a drizzle.
A yellow cement mixer truck in a construction zone under light rain.
An old blue gravel truck in a quarry during a misty drizzle",truck,construction_zone,drizzle,Multiple
4596,4596,"

A red construction truck in a muddy construction zone during heavy rain. The rainwater cascades off the truck's metal body, creating rivulets that flow towards the puddles on the ground. The tires churn up",truck,construction_zone,heavy_rain,Single
4597,4597,"

Two trucks in a construction zone during heavy rain. Colorful umbrellas shield workers as they maneuver heavy machinery through the muddy terrain. Rainwater cascades off the trucks' metal bodies, creating temporary waterfalls.",truck,construction_zone,heavy_rain,Two
4598,4598,Three trucks in a construction zone during heavy rain.,truck,construction_zone,heavy_rain,Three
4599,4599,"

A red construction truck in a muddy construction zone during heavy rain.
A yellow bulldozer truck and a blue crane truck in a rain-soaked construction site.
A green dump truck and an orange cement mixer",truck,construction_zone,heavy_rain,Multiple
4600,4600,"

A sunny day on a congested highway. A red truck with a shiny chrome grille is idling in the traffic jam, surrounded by a sea of vehicles of various colors. The sun casts long shadows on the as",truck,traffic_jam,sunny,Single
4601,4601,"

Two trucks in a sunny traffic jam.",truck,traffic_jam,sunny,Two
4602,4602,Three trucks in a sunny traffic jam.,truck,traffic_jam,sunny,Three
4603,4603,"

A sunny day on a congested highway. Five trucks in a traffic jam, their metallic bodies reflecting the golden sunlight. The air is filled with the hum of idling engines and the distant sound of horns. The",truck,traffic_jam,sunny,Multiple
4604,4604,"

A single truck in a traffic jam on a cloudy day. The sky is overcast, with gray clouds hanging low, obscuring the sun. The truck's engine idles quietly, releasing plumes of white exhaust into the damp",truck,traffic_jam,cloudy,Single
4605,4605,"

Two trucks in a cloudy traffic jam.",truck,traffic_jam,cloudy,Two
4606,4606,Three trucks in a cloudy traffic jam.,truck,traffic_jam,cloudy,Three
4607,4607,"

Cloudy day, multiple trucks in a traffic jam.",truck,traffic_jam,cloudy,Multiple
4608,4608,"

A single red truck, bogged down in a rain-soaked traffic jam.",truck,traffic_jam,rainy,Single
4609,4609,"

Two trucks in a rainy traffic jam.",truck,traffic_jam,rainy,Two
4610,4610,Three trucks in a rainy traffic jam.,truck,traffic_jam,rainy,Three
4611,4611,"

A red truck submerged in a flooded street during a heavy rainstorm.
A blue semi-truck stuck in a traffic jam under a drizzling rain.
A yellow delivery truck with its hazard lights on,",truck,traffic_jam,rainy,Multiple
4612,4612,"

A single red truck, engulfed in a stormy traffic jam, windshield wipers frantically sweeping away the heavy rain. The truck's tires spin helplessly in the muddy road, surrounded by a sea",truck,traffic_jam,stormy,Single
4613,4613,"

Two trucks in a stormy traffic jam. Dark gray clouds loom overhead, rain pelting down in sheets, illuminated by the occasional flash of lightning. The trucks, one red and one blue, are barely visible through the tor",truck,traffic_jam,stormy,Two
4614,4614,Three trucks in a stormy traffic jam.,truck,traffic_jam,stormy,Three
4615,4615,"

A red semi-truck submerged in a flooded street during a storm.
A yellow dump truck stuck in a traffic jam under a dark stormy sky.
A blue delivery truck with its hazard lights on, surrounded",truck,traffic_jam,stormy,Multiple
4616,4616,"

A single red truck, idling in a snowy traffic jam.",truck,traffic_jam,snowy,Single
4617,4617,"

Two trucks in a snowy traffic jam.",truck,traffic_jam,snowy,Two
4618,4618,Three trucks in a snowy traffic jam.,truck,traffic_jam,snowy,Three
4619,4619,"

A red truck in a traffic jam on a snowy mountain road.
A blue and yellow school bus, stuck in a traffic jam during a heavy snowfall.
A rusty old pickup truck, stranded in a traffic jam",truck,traffic_jam,snowy,Multiple
4620,4620,"

A single truck in a traffic jam on a foggy morning. The thick fog envelops the truck, making it almost invisible to the surrounding vehicles. The truck's headlights pierce through the fog, casting a small, eer",truck,traffic_jam,foggy,Single
4621,4621,"

Two trucks in a traffic jam under foggy conditions.",truck,traffic_jam,foggy,Two
4622,4622,Three trucks in a traffic jam under foggy conditions.,truck,traffic_jam,foggy,Three
4623,4623,"

A truck lost in the foggy traffic jam, surrounded by a sea of red and white taillights. A line of trucks stretching into the distance, their engines idling, waiting for the fog to clear. The air thick with",truck,traffic_jam,foggy,Multiple
4624,4624,"

A single red truck in a windy traffic jam.",truck,traffic_jam,windy,Single
4625,4625,"

Two trucks in a windy traffic jam.",truck,traffic_jam,windy,Two
4626,4626,Three trucks in a windy traffic jam.,truck,traffic_jam,windy,Three
4627,4627,"

A red truck in a traffic jam on a winding mountain road during a windy day.
A blue and yellow striped truck in a long traffic jam under a windy desert sky.
A rusty old truck in a traffic",truck,traffic_jam,windy,Multiple
4628,4628,"

A single red truck idling in a long line of vehicles during a clear day traffic jam.",truck,traffic_jam,clear,Single
4629,4629,"

Two trucks in a traffic jam with clear weather.",truck,traffic_jam,clear,Two
4630,4630,Three trucks in a clear traffic jam.,truck,traffic_jam,clear,Three
4631,4631,"

Clear weather, six trucks in a traffic jam. Red, blue, and yellow trucks form a line, while green and gray trucks are slightly off to the side. The sun casts long shadows on the road, highlighting the intricate",truck,traffic_jam,clear,Multiple
4632,4632,"

A single red truck in a traffic jam during a drizzle. The raindrops hit the truck's windshield, creating a rhythmic pitter-patter sound. The truck's body was slick with rain",truck,traffic_jam,drizzle,Single
4633,4633,"

Two trucks in a traffic jam under a drizzle, gray and rusty trucks, their tires splashing water on the wet asphalt.",truck,traffic_jam,drizzle,Two
4634,4634,Three trucks in a traffic jam under a drizzly sky.,truck,traffic_jam,drizzle,Three
4635,4635,"

A red truck idling in a traffic jam during a drizzle, surrounded by other vehicles.
A blue and yellow school bus, a green pickup truck, and a red delivery truck stuck in a traffic jam under a light dri",truck,traffic_jam,drizzle,Multiple
4636,4636,"

A single red truck, submerged in heavy rain, stuck in a traffic jam.",truck,traffic_jam,heavy_rain,Single
4637,4637,Two trucks in a traffic jam during heavy rain.,truck,traffic_jam,heavy_rain,Two
4638,4638,Three trucks in a traffic jam during heavy rain.,truck,traffic_jam,heavy_rain,Three
4639,4639,"

A red truck submerged in a flooded street during heavy rain.
A blue semi-truck stuck in a traffic jam under a pouring rain.
A yellow school bus stalled on a muddy road during a heavy",truck,traffic_jam,heavy_rain,Multiple
4640,4640,"

A red pickup truck parked at the bus station under the bright, sunny sky.",truck,bus_station,sunny,Single
4641,4641,"

Two trucks at a sunny bus station.",truck,bus_station,sunny,Two
4642,4642,Three trucks at a bustling bus station under a sunny sky.,truck,bus_station,sunny,Three
4643,4643,"

A sunny bus station with three red trucks parked in a row.",truck,bus_station,sunny,Multiple
4644,4644,"

A single red truck in a bus station under cloudy skies.",truck,bus_station,cloudy,Single
4645,4645,"

Two trucks at a bus station under cloudy weather.",truck,bus_station,cloudy,Two
4646,4646,Three trucks at a bus station under cloudy weather.,truck,bus_station,cloudy,Three
