,prompt,class,environment,weather,amount
1176,"A small boat in the gulf, weathered by wind.",small boat,gulf,windy,Single
1177,Two small boats in the gulf under windy conditions.,small boat,gulf,windy,Two
1178,Three small boats in the gulf under windy conditions.,small boat,gulf,windy,Three
1179,"

A small boat in the gulf, weathered by windy conditions.",small boat,gulf,windy,Multiple
1180,"Clear day on the Gulf, a small boat anchored.",small boat,gulf,clear,Single
1181,Two small boats in the gulf with clear weather.,small boat,gulf,clear,Two
1182,Three small boats in the clear gulf.,small boat,gulf,clear,Three
1183,Clear sky over a small boat in the gulf.,small boat,gulf,clear,Multiple
1184,A small boat in the estuary on a sunny day.,small boat,estuary,sunny,Single
1185,Two small boats in an estuary under a sunny sky.,small boat,estuary,sunny,Two
1186,Three small boats in an estuary under a sunny sky.,small boat,estuary,sunny,Three
1187,"

A small boat anchored in the calm estuary under a sunny sky.",small boat,estuary,sunny,Multiple
1188,"

A small boat anchored in the estuary under cloudy skies.",small boat,estuary,cloudy,Single
1189,Two small boats in an estuary under cloudy weather.,small boat,estuary,cloudy,Two
1190,Three small boats in an estuary under cloudy weather.,small boat,estuary,cloudy,Three
1191,"

A small boat anchored in the estuary, surrounded by murky waters under an overcast sky. Clouds loom overhead, casting a gray pallor over the scene.",small boat,estuary,cloudy,Multiple
1192,A small boat in the estuary during rainy weather.,small boat,estuary,rainy,Single
1193,Two small boats in the estuary during rainy weather.,small boat,estuary,rainy,Two
1194,Three small boats in an estuary during rainy weather.,small boat,estuary,rainy,Three
1195,"

A small boat anchored in the estuary during a rainy day.",small boat,estuary,rainy,Multiple
1196,A small boat in the estuary during a storm.,small boat,estuary,stormy,Single
1197,Two small boats in the estuary during a storm.,small boat,estuary,stormy,Two
1198,Three small boats in an estuary during a storm.,small boat,estuary,stormy,Three
1199,"

A small boat anchored in the estuary, waves crashing against its hull in the stormy weather.",small boat,estuary,stormy,Multiple
1200,A small boat in the estuary on a snowy day.,small boat,estuary,snowy,Single
1201,Two small boats in an estuary under snowy weather.,small boat,estuary,snowy,Two
1202,Three small boats in an estuary under snowy weather.,small boat,estuary,snowy,Three
1203,"

A small boat anchored in the estuary, surrounded by drifting ice floes in a snowy weather.",small boat,estuary,snowy,Multiple
1204,A small boat in the estuary amidst foggy conditions.,small boat,estuary,foggy,Single
1205,Two small boats in the estuary shrouded in fog.,small boat,estuary,foggy,Two
1206,Three small boats in an estuary shrouded in fog.,small boat,estuary,foggy,Three
1207,"

A small boat anchored in the estuary, shrouded in fog.",small boat,estuary,foggy,Multiple
1208,A small boat in the estuary during a windy day.,small boat,estuary,windy,Single
1209,Two small boats in the estuary during windy weather.,small boat,estuary,windy,Two
1210,Three small boats in an estuary during windy weather.,small boat,estuary,windy,Three
1211,"

A small boat anchored in the estuary, weathered by windy conditions.",small boat,estuary,windy,Multiple
1212,Clear day in an estuary. A small boat rests in the calm water.,small boat,estuary,clear,Single
1213,Two small boats in an estuary under clear skies.,small boat,estuary,clear,Two
1214,Three small boats in an estuary with clear weather.,small boat,estuary,clear,Three
1215,"Clear day in an estuary, a small boat anchored.",small boat,estuary,clear,Multiple
1216,"A small boat on a calm, sunlit river.",small boat,river,sunny,Single
1217,Two small boats in a sunny river.,small boat,river,sunny,Two
1218,Three small boats in a sunny river.,small boat,river,sunny,Three
1219,"

A small boat anchored in a calm, sunny river.",small boat,river,sunny,Multiple
1220,"

A small boat anchored in a cloudy river.",small boat,river,cloudy,Single
1221,Two small boats in a cloudy river.,small boat,river,cloudy,Two
1222,Three small boats in a cloudy river.,small boat,river,cloudy,Three
1223,"

A small boat anchored in a cloudy river.",small boat,river,cloudy,Multiple
1224,A small boat in the river during rain.,small boat,river,rainy,Single
1225,Two small boats in a river during rain.,small boat,river,rainy,Two
1226,Three small boats in a river during rain.,small boat,river,rainy,Three
1227,"

A small boat adrift on a rain-swollen river, umbrella-less passengers huddled against the downpour.",small boat,river,rainy,Multiple
1228,A small boat in the river during a storm.,small boat,river,stormy,Single
1229,Two small boats in a stormy river.,small boat,river,stormy,Two
1230,Three small boats in a stormy river.,small boat,river,stormy,Three
1231,"

A small boat adrift on a stormy river, rain pelting its wooden hull, waves crashing against its sides.",small boat,river,stormy,Multiple
1232,A small boat on a snowy river.,small boat,river,snowy,Single
1233,Two small boats in a snowy river.,small boat,river,snowy,Two
1234,Three small boats in a snowy river.,small boat,river,snowy,Three
1235,"

A small boat adrift on a snow-covered river, surrounded by ice floes.",small boat,river,snowy,Multiple
1236,A small boat in the river with foggy weather.,small boat,river,foggy,Single
1237,Two small boats in a foggy river.,small boat,river,foggy,Two
1238,Three small boats in a foggy river.,small boat,river,foggy,Three
1239,"

A small boat anchored in the foggy river, oars still at the ready.",small boat,river,foggy,Multiple
1240,A small boat on a winding river under a windy sky.,small boat,river,windy,Single
1241,Two small boats in a river with windy weather.,small boat,river,windy,Two
1242,Three small boats in a windy river.,small boat,river,windy,Three
1243,"

A small boat adrift on a windy river, waves crashing against its sides.",small boat,river,windy,Multiple
1244,"Clear river, small boat.",small boat,river,clear,Single
1245,Two small boats in a clear river.,small boat,river,clear,Two
1246,Three small boats in a clear river.,small boat,river,clear,Three
1247,"Clear day on a riverbank, a small boat tied to a dock.",small boat,river,clear,Multiple
1248,A small boat in a sunny canal.,small boat,canal,sunny,Single
1249,Two small boats in a sunny canal.,small boat,canal,sunny,Two
1250,Three small boats in a sunny canal.,small boat,canal,sunny,Three
1251,"

A small boat anchored in a tranquil canal under a sunny sky.",small boat,canal,sunny,Multiple
1252,"

A small boat anchored in a canal, surrounded by reflections of the overcast sky and nearby buildings, with a light drizzle falling.",small boat,canal,cloudy,Single
1253,Two small boats in a canal with cloudy weather.,small boat,canal,cloudy,Two
1254,Three small boats in a canal with cloudy weather.,small boat,canal,cloudy,Three
1255,"

A small boat anchored in a canal, surrounded by reflections of gray clouds.",small boat,canal,cloudy,Multiple
1256,A small boat in the canal during rain.,small boat,canal,rainy,Single
1257,Two small boats in a canal during rainy weather.,small boat,canal,rainy,Two
1258,Three small boats in a canal during rainy weather.,small boat,canal,rainy,Three
1259,"

A small boat adrift in the rainy canal, umbrella nearby.",small boat,canal,rainy,Multiple
1260,A small boat in a canal during a storm.,small boat,canal,stormy,Single
1261,Two small boats in a canal during a storm.,small boat,canal,stormy,Two
1262,Three small boats in a canal during a storm.,small boat,canal,stormy,Three
1263,"

A small boat adrift in a stormy canal, rain lashing against its sides, waves crashing over its deck.",small boat,canal,stormy,Multiple
1264,A small boat in a snowy canal.,small boat,canal,snowy,Single
1265,Two small boats in a snowy canal.,small boat,canal,snowy,Two
1266,Three small boats in a snowy canal.,small boat,canal,snowy,Three
1267,"A small boat, frozen in the canal, surrounded by snow.",small boat,canal,snowy,Multiple
1268,"A small boat in the canal, shrouded in fog.",small boat,canal,foggy,Single
1269,Two small boats in a foggy canal.,small boat,canal,foggy,Two
1270,Three small boats in a foggy canal.,small boat,canal,foggy,Three
1271,"

A small boat anchored in the foggy canal, its sails furled and oars stowed. The water around it shimmered with the mist, obscuring the banks and the surrounding buildings. The only sounds were the gentle",small boat,canal,foggy,Multiple
1272,A small boat in a canal with windy weather.,small boat,canal,windy,Single
1273,Two small boats in a canal with windy weather.,small boat,canal,windy,Two
1274,Three small boats in a windy canal.,small boat,canal,windy,Three
1275,"

A small boat anchored in a narrow canal, weathered by windy conditions.",small boat,canal,windy,Multiple
1276,Clear day on a canal. A small boat rests quietly in the water.,small boat,canal,clear,Single
1277,Two small boats in a clear canal.,small boat,canal,clear,Two
1278,Three small boats in a clear canal.,small boat,canal,clear,Three
1279,Clear day on a canal with a small boat tied to a dock.,small boat,canal,clear,Multiple
1280,"A small boat on a calm, sunlit lake.",small boat,lake,sunny,Single
1281,Two small boats on a sunny lake.,small boat,lake,sunny,Two
1282,Three small boats on a sunny lake.,small boat,lake,sunny,Three
1283,"

A small boat anchored in a tranquil lake under a sunny sky.",small boat,lake,sunny,Multiple
1284,"

A small boat on a cloudy lake.",small boat,lake,cloudy,Single
1285,Two small boats on a cloudy lake.,small boat,lake,cloudy,Two
1286,Three small boats on a cloudy lake.,small boat,lake,cloudy,Three
1287,"

A small boat anchored in the middle of a cloudy lake.",small boat,lake,cloudy,Multiple
1288,A small boat in the lake during rainfall.,small boat,lake,rainy,Single
1289,Two small boats in a rainy lake.,small boat,lake,rainy,Two
1290,Three small boats in a rainy lake.,small boat,lake,rainy,Three
1291,"

A small boat anchored in the lake during a rainstorm.",small boat,lake,rainy,Multiple
1292,A small boat on a stormy lake.,small boat,lake,stormy,Single
1293,Two small boats in a stormy lake.,small boat,lake,stormy,Two
1294,Three small boats on a stormy lake.,small boat,lake,stormy,Three
1295,"

A small boat bobbing on a stormy lake, rain pelting its wooden sides, waves crashing against it.",small boat,lake,stormy,Multiple
1296,A small boat on a snow-covered lake.,small boat,lake,snowy,Single
1297,Two small boats on a snowy lake.,small boat,lake,snowy,Two
1298,Three small boats on a snowy lake.,small boat,lake,snowy,Three
1299,"

A small boat on a snow-covered lake, surrounded by frozen trees and ice formations.",small boat,lake,snowy,Multiple
1300,A small boat on a foggy lake.,small boat,lake,foggy,Single
1301,Two small boats in a foggy lake.,small boat,lake,foggy,Two
1302,Three small boats in a foggy lake.,small boat,lake,foggy,Three
1303,"

A small boat anchored in the lake, shrouded in fog.",small boat,lake,foggy,Multiple
1304,A small boat on a windy lake.,small boat,lake,windy,Single
1305,Two small boats on a windy lake.,small boat,lake,windy,Two
1306,Three small boats on a windy lake.,small boat,lake,windy,Three
1307,"

A small boat bobbing on a windy lake, whitecaps forming on the waves.",small boat,lake,windy,Multiple
1308,Clear day on a lake. A small boat anchored in the calm water.,small boat,lake,clear,Single
1309,Two small boats on a clear lake.,small boat,lake,clear,Two
1310,Three small boats on a clear lake.,small boat,lake,clear,Three
1311,"Clear day on a lake, a small boat anchored.",small boat,lake,clear,Multiple
1312,A small boat in a calm lagoon under a sunny sky.,small boat,lagoon,sunny,Single
1313,Two small boats in a sunny lagoon.,small boat,lagoon,sunny,Two
1314,Three small boats in a sunny lagoon.,small boat,lagoon,sunny,Three
1315,"

A small boat anchored in a calm, sunny lagoon.",small boat,lagoon,sunny,Multiple
1316,"

A small boat anchored in a lagoon under cloudy skies.",small boat,lagoon,cloudy,Single
1317,Two small boats in a lagoon under cloudy weather.,small boat,lagoon,cloudy,Two
1318,Three small boats in a lagoon under cloudy weather.,small boat,lagoon,cloudy,Three
1319,"

A small boat anchored in a cloudy lagoon.",small boat,lagoon,cloudy,Multiple
1320,A small boat in the lagoon during a rainstorm.,small boat,lagoon,rainy,Single
1321,Two small boats in a lagoon during rainy weather.,small boat,lagoon,rainy,Two
1322,Three small boats in a lagoon during rainy weather.,small boat,lagoon,rainy,Three
1323,"

A small boat anchored in the lagoon during a rainy day.",small boat,lagoon,rainy,Multiple
1324,A small boat in the lagoon during a storm.,small boat,lagoon,stormy,Single
1325,Two small boats in a lagoon during a storm.,small boat,lagoon,stormy,Two
1326,Three small boats in a lagoon during a storm.,small boat,lagoon,stormy,Three
1327,"

A small boat anchored in the lagoon during a stormy weather.",small boat,lagoon,stormy,Multiple
1328,"A small boat in the lagoon, shrouded in snowfall.",small boat,lagoon,snowy,Single
1329,Two small boats in a lagoon under a snowy sky.,small boat,lagoon,snowy,Two
1330,Three small boats in a lagoon under a snowy sky.,small boat,lagoon,snowy,Three
1331,"

A small boat anchored in a lagoon, surrounded by white, frosty waves under a snowy sky.",small boat,lagoon,snowy,Multiple
1332,"A small boat in the lagoon, shrouded in fog.",small boat,lagoon,foggy,Single
1333,Two small boats in a lagoon shrouded in fog.,small boat,lagoon,foggy,Two
1334,Three small boats in a lagoon shrouded in fog.,small boat,lagoon,foggy,Three
1335,"

A small boat anchored in the lagoon, shrouded in foggy weather.",small boat,lagoon,foggy,Multiple
1336,"A small boat in the lagoon, weathered by wind.",small boat,lagoon,windy,Single
1337,Two small boats in a lagoon during windy weather.,small boat,lagoon,windy,Two
1338,Three small boats in a windy lagoon.,small boat,lagoon,windy,Three
1339,"

A small boat anchored in the lagoon, waves crashing against its sides in the windy weather.",small boat,lagoon,windy,Multiple
1340,Clear day in a lagoon. A small boat rests in the calm water.,small boat,lagoon,clear,Single
1341,Two small boats in a tranquil lagoon under clear skies.,small boat,lagoon,clear,Two
1342,Three small boats in a tranquil lagoon under clear skies.,small boat,lagoon,clear,Three
1343,"Clear lagoon, small boat anchored.",small boat,lagoon,clear,Multiple
1344,A small boat in the fjord under a sunny sky.,small boat,fjord,sunny,Single
1345,Two small boats in a fjord under a sunny sky.,small boat,fjord,sunny,Two
1346,Three small boats in a sunlit fjord.,small boat,fjord,sunny,Three
1347,"

A small boat anchored in the fjord under a sunny sky.",small boat,fjord,sunny,Multiple
1348,"

A small boat anchored in a fjord under cloudy skies.",small boat,fjord,cloudy,Single
1349,Two small boats in a fjord under cloudy weather.,small boat,fjord,cloudy,Two
1350,Three small boats in a fjord under cloudy weather.,small boat,fjord,cloudy,Three
1351,"

A small boat anchored in the fjord, surrounded by misty clouds.",small boat,fjord,cloudy,Multiple
1352,A small boat in the fjord during rainy weather.,small boat,fjord,rainy,Single
1353,Two small boats in a fjord during rainy weather.,small boat,fjord,rainy,Two
1354,Three small boats in a fjord during rainy weather.,small boat,fjord,rainy,Three
1355,"

A small boat anchored in the fjord during a rainy day.",small boat,fjord,rainy,Multiple
1356,A small boat in the fjord during a storm.,small boat,fjord,stormy,Single
1357,Two small boats in a fjord during a storm.,small boat,fjord,stormy,Two
1358,Three small boats in a fjord during a storm.,small boat,fjord,stormy,Three
1359,A small boat in the fjord during a storm.,small boat,fjord,stormy,Multiple
1360,"A small boat in the fjord, shrouded in snowfall.",small boat,fjord,snowy,Single
1361,Two small boats in a fjord under snowy weather.,small boat,fjord,snowy,Two
1362,Three small boats in a fjord under snowy weather.,small boat,fjord,snowy,Three
1363,"

A small boat anchored in a fjord, surrounded by snow-capped mountains. The water is calm but the air is filled with snowflakes, making the scene look surreal.",small boat,fjord,snowy,Multiple
1364,A small boat in the fjord amidst foggy conditions.,small boat,fjord,foggy,Single
1365,Two small boats in the fjord under foggy conditions.,small boat,fjord,foggy,Two
1366,Three small boats in a fjord shrouded in fog.,small boat,fjord,foggy,Three
1367,"

A small boat anchored in the fjord, shrouded in fog.",small boat,fjord,foggy,Multiple
1368,A small boat in the fjord during a windy day.,small boat,fjord,windy,Single
1369,Two small boats in a fjord during windy weather.,small boat,fjord,windy,Two
1370,Three small boats in a fjord during windy weather.,small boat,fjord,windy,Three
1371,"

A small boat anchored in the fjord, weathered by windy conditions.",small boat,fjord,windy,Multiple
1372,Clear day in a fjord. A small boat anchored in the still water.,small boat,fjord,clear,Single
1373,Two small boats in a fjord with clear weather.,small boat,fjord,clear,Two
1374,Three small boats in a clear fjord.,small boat,fjord,clear,Three
1375,Clear day in a fjord. A small boat anchored in the still water.,small boat,fjord,clear,Multiple
1376,"A small boat anchored in the delta under a clear, sunny sky.",small boat,delta,sunny,Single
1377,Two small boats in the delta under a sunny sky.,small boat,delta,sunny,Two
1378,Three small boats in the delta under a sunny sky.,small boat,delta,sunny,Three
1379,"

A small boat anchored in the calm delta under a clear, sunny sky.",small boat,delta,sunny,Multiple
1380,"

A small boat anchored in the delta, surrounded by murky waters. The sky above was overcast with thick, grey clouds, casting an eerie pallor over the scene.",small boat,delta,cloudy,Single
1381,Two small boats in the delta under cloudy weather.,small boat,delta,cloudy,Two
1382,Three small boats in the delta under cloudy weather.,small boat,delta,cloudy,Three
1383,"

A small boat anchored in the delta, surrounded by murky waters. The sky above was overcast with thick, grey clouds.",small boat,delta,cloudy,Multiple
1384,"A small boat in the delta under a grey, rainy sky.",small boat,delta,rainy,Single
1385,Two small boats in the delta under rainy weather.,small boat,delta,rainy,Two
1386,Three small boats in the delta under rainy weather.,small boat,delta,rainy,Three
1387,"

A small boat anchored in the delta, raindrops pounding its hull.",small boat,delta,rainy,Multiple
1388,A small boat in the delta amidst stormy weather.,small boat,delta,stormy,Single
1389,Two small boats in the delta during a storm.,small boat,delta,stormy,Two
1390,Three small boats in the delta during a storm.,small boat,delta,stormy,Three
1391,"

A small boat anchored in the delta, waves crashing against its hull in the stormy weather.",small boat,delta,stormy,Multiple
1392,"A small boat in the delta, weathered by snow.",small boat,delta,snowy,Single
1393,Two small boats in the delta under snowy weather.,small boat,delta,snowy,Two
1394,Three small boats in the delta under snowy weather.,small boat,delta,snowy,Three
1395,"

A small boat anchored in the delta, surrounded by icy water as snowflakes gently fall around it.",small boat,delta,snowy,Multiple
1396,A small boat in the delta with foggy weather.,small boat,delta,foggy,Single
1397,Two small boats in the delta with foggy weather.,small boat,delta,foggy,Two
1398,Three small boats in the delta with foggy weather.,small boat,delta,foggy,Three
1399,"

A small boat anchored in the delta, shrouded in foggy weather.",small boat,delta,foggy,Multiple
1400,"A small boat in the delta, weathered by wind.",small boat,delta,windy,Single
1401,Two small boats in the delta with windy weather.,small boat,delta,windy,Two
1402,Three small boats in the delta with windy weather.,small boat,delta,windy,Three
1403,"

A small boat anchored in the delta, waves crashing against its sides as the wind howls through the reeds.",small boat,delta,windy,Multiple
1404,Clear day in the delta. A small boat anchored in the calm water.,small boat,delta,clear,Single
1405,Two small boats in the delta with clear weather.,small boat,delta,clear,Two
1406,Three small boats in the delta with clear weather.,small boat,delta,clear,Three
1407,"Clear day in the delta, a small boat anchored in the calm water.",small boat,delta,clear,Multiple
1408,A small boat anchored in the calm waters of an offshore platform under a sunny sky.,small boat,offshore platform area,sunny,Single
1409,Two small boats in the offshore platform area under a sunny sky.,small boat,offshore platform area,sunny,Two
1410,Three small boats in the offshore platform area with a sunny weather.,small boat,offshore platform area,sunny,Three
1411,"

A small boat anchored at an offshore platform under a clear, sunny sky.",small boat,offshore platform area,sunny,Multiple
1412,"

A small boat anchored at an offshore platform in a cloudy day.",small boat,offshore platform area,cloudy,Single
1413,Two small boats in the offshore platform area during cloudy weather.,small boat,offshore platform area,cloudy,Two
1414,Three small boats in the offshore platform area with cloudy weather.,small boat,offshore platform area,cloudy,Three
1415,"

A small boat anchored at an offshore platform amidst cloudy weather.",small boat,offshore platform area,cloudy,Multiple
1416,A small boat in the offshore platform area during rainy weather.,small boat,offshore platform area,rainy,Single
1417,Two small boats in the offshore platform area during rainy weather.,small boat,offshore platform area,rainy,Two
1418,Three small boats in the offshore platform area during rainy weather.,small boat,offshore platform area,rainy,Three
1419,"

A small boat anchored at an offshore platform during a rainy day.",small boat,offshore platform area,rainy,Multiple
1420,A small boat in the offshore platform area during a storm.,small boat,offshore platform area,stormy,Single
1421,Two small boats in the offshore platform area during a storm.,small boat,offshore platform area,stormy,Two
1422,Three small boats in the offshore platform area during a storm.,small boat,offshore platform area,stormy,Three
1423,"

A small boat anchored at an offshore platform amidst stormy weather. Rain pounded against the metal structure, waves crashed against the boat's sides. The wind howled as it whipped through the rigging, causing the",small boat,offshore platform area,stormy,Multiple
1424,A small boat in the offshore platform area during a snowstorm.,small boat,offshore platform area,snowy,Single
1425,Two small boats in the offshore platform area during a snowstorm.,small boat,offshore platform area,snowy,Two
1426,Three small boats in the offshore platform area during a snowstorm.,small boat,offshore platform area,snowy,Three
1427,A small boat frozen in the offshore platform during a snowstorm.,small boat,offshore platform area,snowy,Multiple
1428,A small boat in the offshore platform area amidst foggy conditions.,small boat,offshore platform area,foggy,Single
1429,Two small boats in the offshore platform area with foggy weather.,small boat,offshore platform area,foggy,Two
1430,Three small boats in the offshore platform area with foggy weather.,small boat,offshore platform area,foggy,Three
1431,"

A small boat anchored at an offshore platform in the foggy conditions.",small boat,offshore platform area,foggy,Multiple
1432,A small boat in the offshore platform area during windy weather.,small boat,offshore platform area,windy,Single
1433,Two small boats in the offshore platform area during windy weather.,small boat,offshore platform area,windy,Two
1434,Three small boats in the offshore platform area during windy weather.,small boat,offshore platform area,windy,Three
1435,"

A small boat anchored at an offshore platform amidst windy conditions.",small boat,offshore platform area,windy,Multiple
1436,Clear day in the offshore platform area. A small boat anchored near an oil rig.,small boat,offshore platform area,clear,Single
1437,Two small boats in the offshore platform area with clear weather.,small boat,offshore platform area,clear,Two
1438,Three small boats in the offshore platform area with clear weather.,small boat,offshore platform area,clear,Three
1439,Clear day in the offshore platform area. A small boat anchored near the platform.,small boat,offshore platform area,clear,Multiple
1440,"A small boat, solitary, near a lighthouse, under a sunny sky.",small boat,near lighthouse,sunny,Single
1441,Two small boats near a lighthouse in sunny weather.,small boat,near lighthouse,sunny,Two
1442,Three small boats near a lighthouse in sunny weather.,small boat,near lighthouse,sunny,Three
1443,"A small boat anchored near a lighthouse in calm, sunny weather.",small boat,near lighthouse,sunny,Multiple
1444,"A small boat, solitary, near a lighthouse, under cloudy weather.",small boat,near lighthouse,cloudy,Single
1445,Two small boats near a lighthouse in cloudy weather.,small boat,near lighthouse,cloudy,Two
1446,Three small boats near a lighthouse in cloudy weather.,small boat,near lighthouse,cloudy,Three
1447,"

A small boat anchored near a lighthouse in the cloudy weather.",small boat,near lighthouse,cloudy,Multiple
1448,"A small boat, solitary in the near lighthouse, weathered by rain.",small boat,near lighthouse,rainy,Single
1449,Two small boats near a lighthouse in the rain.,small boat,near lighthouse,rainy,Two
1450,Three small boats near a lighthouse in the rain.,small boat,near lighthouse,rainy,Three
1451,A small boat anchored near a lighthouse in the rain.,small boat,near lighthouse,rainy,Multiple
1452,A small boat in the near lighthouse during a stormy weather.,small boat,near lighthouse,stormy,Single
1453,Two small boats near a lighthouse in a stormy weather.,small boat,near lighthouse,stormy,Two
1454,Three small boats near a lighthouse in a stormy weather.,small boat,near lighthouse,stormy,Three
1455,A small boat anchored near a lighthouse in a stormy sea.,small boat,near lighthouse,stormy,Multiple
1456,"A small boat, solitary in the near lighthouse, weathered by snow.",small boat,near lighthouse,snowy,Single
1457,Two small boats near a lighthouse in a snowy weather.,small boat,near lighthouse,snowy,Two
1458,Three small boats near a snowy lighthouse.,small boat,near lighthouse,snowy,Three
1459,"A small boat, anchored near a lighthouse, in the snowy weather.",small boat,near lighthouse,snowy,Multiple
1460,"A small boat, solitary in the near lighthouse, amidst the foggy conditions.",small boat,near lighthouse,foggy,Single
1461,Two small boats near a lighthouse in the fog.,small boat,near lighthouse,foggy,Two
1462,Three small boats near a lighthouse in the fog.,small boat,near lighthouse,foggy,Three
1463,A small boat anchored near a lighthouse in the foggy weather.,small boat,near lighthouse,foggy,Multiple
1464,"A small boat, solitary in the near lighthouse, weathered by windy conditions.",small boat,near lighthouse,windy,Single
1465,Two small boats near a lighthouse in windy weather.,small boat,near lighthouse,windy,Two
1466,Three small boats near a lighthouse in windy weather.,small boat,near lighthouse,windy,Three
1467,A small boat anchored near a lighthouse in a windy weather.,small boat,near lighthouse,windy,Multiple
1468,"A small boat, solitary, near a lighthouse, under clear skies.",small boat,near lighthouse,clear,Single
1469,Two small boats near a lighthouse in clear weather.,small boat,near lighthouse,clear,Two
1470,Three small boats near a lighthouse in clear weather.,small boat,near lighthouse,clear,Three
1471,A small boat anchored near a lighthouse in clear weather.,small boat,near lighthouse,clear,Multiple
1472,A small boat anchored near a bridge in a sunny day.,small boat,near bridge,sunny,Single
1473,Two small boats near a bridge in sunny weather.,small boat,near bridge,sunny,Two
1474,Three small boats near a sunny bridge.,small boat,near bridge,sunny,Three
1475,"

A small boat anchored near a sunlit bridge.",small boat,near bridge,sunny,Multiple
1476,"

A small boat anchored near a bridge in a cloudy weather.",small boat,near bridge,cloudy,Single
1477,Two small boats near a bridge in cloudy weather.,small boat,near bridge,cloudy,Two
1478,Three small boats near a bridge in cloudy weather.,small boat,near bridge,cloudy,Three
1479,"

A small boat anchored near a bridge in a cloudy weather.",small boat,near bridge,cloudy,Multiple
1480,A small boat in the near bridge during rainy weather.,small boat,near bridge,rainy,Single
1481,Two small boats near a bridge in the rain.,small boat,near bridge,rainy,Two
1482,Three small boats near a bridge in the rain.,small boat,near bridge,rainy,Three
1483,A small boat in the near bridge during a rainstorm.,small boat,near bridge,rainy,Multiple
1484,A small boat in the near bridge during a stormy weather.,small boat,near bridge,stormy,Single
1485,Two small boats near a bridge in a stormy weather.,small boat,near bridge,stormy,Two
1486,Three small boats near a bridge in a stormy weather.,small boat,near bridge,stormy,Three
1487,A small boat in the near bridge during a stormy weather.,small boat,near bridge,stormy,Multiple
1488,A small boat in the near bridge during a snowstorm.,small boat,near bridge,snowy,Single
1489,Two small boats near a bridge in a snowy weather.,small boat,near bridge,snowy,Two
1490,Three small boats near a snowy bridge.,small boat,near bridge,snowy,Three
1491,A small boat in the near bridge during a snowstorm.,small boat,near bridge,snowy,Multiple
1492,A small boat in the near bridge amidst foggy weather.,small boat,near bridge,foggy,Single
1493,Two small boats in the near bridge in foggy weather.,small boat,near bridge,foggy,Two
1494,Three small boats in the near bridge with foggy weather.,small boat,near bridge,foggy,Three
1495,"

A small boat anchored near a bridge in the foggy weather.",small boat,near bridge,foggy,Multiple
1496,A small boat in the near bridge during a windy day.,small boat,near bridge,windy,Single
1497,Two small boats near a bridge in windy weather.,small boat,near bridge,windy,Two
1498,Three small boats near a bridge in windy weather.,small boat,near bridge,windy,Three
1499,A small boat anchored near a bridge in a windy weather.,small boat,near bridge,windy,Multiple
1500,"Clear day, small boat near bridge.",small boat,near bridge,clear,Single
1501,Two small boats near a bridge in clear weather.,small boat,near bridge,clear,Two
1502,Three small boats near a bridge in clear weather.,small boat,near bridge,clear,Three
1503,Clear sky. A small boat anchored near a bridge.,small boat,near bridge,clear,Multiple
1504,A small boat at anchor in a sunny anchorage.,small boat,anchorage area,sunny,Single
1505,Two small boats in an anchorage area with sunny weather.,small boat,anchorage area,sunny,Two
1506,Three small boats at anchor in a sunny bay.,small boat,anchorage area,sunny,Three
1507,"

A sunny anchorage filled with small boats.",small boat,anchorage area,sunny,Multiple
1508,"

A small boat at anchor in a cloudy anchorage.",small boat,anchorage area,cloudy,Single
1509,Two small boats in an anchorage during cloudy weather.,small boat,anchorage area,cloudy,Two
1510,Three small boats in an anchorage area with cloudy weather.,small boat,anchorage area,cloudy,Three
1511,"

Cloudy anchorage with a small boat at the center, surrounded by other small boats.",small boat,anchorage area,cloudy,Multiple
1512,A small boat in the anchorage during rain.,small boat,anchorage area,rainy,Single
1513,Two small boats in the anchorage during rainy weather.,small boat,anchorage area,rainy,Two
1514,Three small boats in an anchorage during rainy weather.,small boat,anchorage area,rainy,Three
1515,"

A small boat bobbing in the anchorage during a rainstorm.",small boat,anchorage area,rainy,Multiple
1516,A small boat in the anchorage during a storm.,small boat,anchorage area,stormy,Single
1517,Two small boats in an anchorage during a storm.,small boat,anchorage area,stormy,Two
1518,Three small boats in an anchorage during a storm.,small boat,anchorage area,stormy,Three
1519,"

A small boat bobbing in the anchorage during a stormy weather.",small boat,anchorage area,stormy,Multiple
1520,A small boat at anchor in a snowy cove.,small boat,anchorage area,snowy,Single
1521,Two small boats in an anchorage during a snowstorm.,small boat,anchorage area,snowy,Two
1522,Three small boats in an anchorage area with snowy weather.,small boat,anchorage area,snowy,Three
1523,"

A small boat, frozen in the anchorage, surrounded by snow-covered water.",small boat,anchorage area,snowy,Multiple
1524,"

A small boat at anchor in the foggy anchorage.",small boat,anchorage area,foggy,Single
1525,Two small boats in the anchorage area with foggy weather.,small boat,anchorage area,foggy,Two
1526,Three small boats in an anchorage area shrouded in fog.,small boat,anchorage area,foggy,Three
1527,"

A small boat, shrouded in fog, at anchor in the tranquil bay.",small boat,anchorage area,foggy,Multiple
1528,"A small boat in the anchorage, weathered by wind.",small boat,anchorage area,windy,Single
1529,Two small boats in an anchorage during windy weather.,small boat,anchorage area,windy,Two
1530,Three small boats in an anchorage during windy weather.,small boat,anchorage area,windy,Three
