prompt,class,environment,style,amount
Two tables in the garage with a cozy style.,table,garage,cozy,Two
Three tables in a cozy garage with rustic decor.,table,garage,cozy,Three
"

A table with plush cushions and warm lighting in a garage converted into a cozy workspace.",table,garage,cozy,Multiple
"

A single modern table in a home office setting.",table,home office,modern,Single
Two tables in a home office with a modern style.,table,home office,modern,Two
Three tables in a home office with a modern design.,table,home office,modern,Three
"

A table with sleek lines and a modern design in the home office.",table,home office,modern,Multiple
"

Minimalist home office with a single table.",table,home office,minimalist,Single
Two tables in a home office with a minimalist style.,table,home office,minimalist,Two
Three tables in a home office with a minimalist style.,table,home office,minimalist,Three
"

Minimalist home office with a wooden table.",table,home office,minimalist,Multiple
"

A rustic-style home office with a wooden table.",table,home office,rustic,Single
Two tables in a home office with a rustic style.,table,home office,rustic,Two
Three tables in a home office with a rustic style.,table,home office,rustic,Three
"

A rustic home office with a large wooden table.",table,home office,rustic,Multiple
"

A table in a home office with an industrial style, featuring metal legs and a rough, unfinished wood top.",table,home office,industrial,Single
Two tables in a home office with an industrial style.,table,home office,industrial,Two
Three tables in a home office with an industrial style.,table,home office,industrial,Three
"

A table with industrial metal legs and a rough concrete top, seating four, in a home office setting.",table,home office,industrial,Multiple
"

A mahogany table with a polished surface, adorned with gold accents and intricate carvings, in a home office setting.",table,home office,luxury,Single
A table with two elegant marble tops and gold accents in a home office.,table,home office,luxury,Two
Three tables in a home office with a luxury style.,table,home office,luxury,Three
"

A table with rich, dark wood finish and ornate gold accents, set in a spacious home office with large windows overlooking a lush garden. The table is adorned with a pristine white tablecloth and",table,home office,luxury,Multiple
"

A vintage home office table with ornate carvings and a distressed finish.",table,home office,vintage,Single
Two vintage tables in a home office.,table,home office,vintage,Two
Three tables in a home office with a vintage style.,table,home office,vintage,Three
"

A vintage home office with a wooden table, adorned with intricate carvings and a worn, yet charming patina.",table,home office,vintage,Multiple
"

A single table in a home office with a Scandinavian design.",table,home office,scandinavian,Single
"

Two tables in a home office with a Scandinavian style.",table,home office,scandinavian,Two
Three tables in a home office with a scandinavian style.,table,home office,scandinavian,Three
"

A Scandinavian-style home office with a wooden table, two chairs, and a table lamp.",table,home office,scandinavian,Multiple
"

A table in a home office, cluttered with papers, pens, and various office supplies.",table,home office,messy,Single
"

Two tables in a home office with a messy style.",table,home office,messy,Two
Three tables in a cluttered home office.,table,home office,messy,Three
"

A cluttered home office with a large, worn wooden table.",table,home office,messy,Multiple
"

Table in a home office with a clean style.",table,home office,clean,Single
Two tables in a clean home office.,table,home office,clean,Two
Three tables in a clean home office.,table,home office,clean,Three
"

A clean-styled home office with a table that seats four.",table,home office,clean,Multiple
"

A table with a rustic wooden top and four mismatched chairs, surrounded by soft throw blankets and potted plants, in a home office with a warm and inviting atmosphere.",table,home office,cozy,Single
Two tables in a home office with a cozy style.,table,home office,cozy,Two
Three tables in a cozy home office.,table,home office,cozy,Three
"

A table with a rustic, cozy style in a home office setting.",table,home office,cozy,Multiple
A single modern table on the balcony.,table,balcony,modern,Single
Two tables on a balcony with a modern design.,table,balcony,modern,Two
Three tables on the balcony with a modern design.,table,balcony,modern,Three
"

A modern balcony with a sleek glass table, seating four.",table,balcony,modern,Multiple
"

A single table on a balcony with minimalist design.",table,balcony,minimalist,Single
Two tables on a balcony with a minimalist design.,table,balcony,minimalist,Two
Three small tables on a balcony.,table,balcony,minimalist,Three
"

Minimalist balcony with a wooden table and two chairs.",table,balcony,minimalist,Multiple
"

A rustic-style table on the balcony.",table,balcony,rustic,Single
Two rustic tables on a balcony.,table,balcony,rustic,Two
Three small tables on a balcony with rustic decor.,table,balcony,rustic,Three
"

A rustic balcony with a wooden table, large enough for four people, surrounded by lush greenery and colorful flowers.",table,balcony,rustic,Multiple
"

Table in balcony with industrial style.",table,balcony,industrial,Single
Two tables on a balcony with an industrial style.,table,balcony,industrial,Two
Three tables in a balcony with an industrial style.,table,balcony,industrial,Three
"

A table with industrial metal legs and a weathered wooden top, placed on the balcony.",table,balcony,industrial,Multiple
"

A single table on a balcony with plush velvet chairs, a crystal clear glass top reflecting the sunset, and gold accents.",table,balcony,luxury,Single
Two tables on a balcony with a luxury style.,table,balcony,luxury,Two
Three tables on a balcony with a luxury style.,table,balcony,luxury,Three
"

A table with plush velvet cushions and gold accents on a balcony overlooking the ocean.",table,balcony,luxury,Multiple
"

A vintage table in a balcony setting.",table,balcony,vintage,Single
Two vintage tables on a balcony.,table,balcony,vintage,Two
Three vintage tables on the balcony.,table,balcony,vintage,Three
"

A vintage table with checkered cloth and wrought iron legs, adorned with colorful plates and glasses, on the balcony overlooking the garden.",table,balcony,vintage,Multiple
"

A single table on the balcony with Scandinavian design elements.",table,balcony,scandinavian,Single
Two tables on a balcony with a Scandinavian style.,table,balcony,scandinavian,Two
Three small tables on a balcony with a Scandinavian design.,table,balcony,scandinavian,Three
"

A Scandinavian-style balcony with a wooden table, seating four.",table,balcony,scandinavian,Multiple
"

A table on the balcony, cluttered with various items.",table,balcony,messy,Single
Two tables on a balcony with a messy style.,table,balcony,messy,Two
Three small tables in a cluttered balcony.,table,balcony,messy,Three
"

A messy balcony with a worn-out wooden table, cluttered with various items.",table,balcony,messy,Multiple
"

A single table on a balcony with a clean design.",table,balcony,clean,Single
Two tables on a balcony with a clean design.,table,balcony,clean,Two
Three tables on a balcony with a clean design.,table,balcony,clean,Three
"

A balcony with a clean design, featuring a multiple of a simple wooden table.",table,balcony,clean,Multiple
A single table in a balcony with a cozy style.,table,balcony,cozy,Single
Two small tables on a balcony with plush cushions and warm blankets.,table,balcony,cozy,Two
"Three small tables on a balcony, arranged in a cozy circle.",table,balcony,cozy,Three
"

A small balcony with a wooden table, set for four, adorned with plush cushions and warm blankets.",table,balcony,cozy,Multiple
A single modern style table in the hallway.,table,hallway,modern,Single
Two tables in the hallway with a modern style.,table,hallway,modern,Two
Three tables in a modern hallway.,table,hallway,modern,Three
"Modern hallway with a large, sleek table against the wall.",table,hallway,modern,Multiple
A single table in the hallway with a minimalist design.,table,hallway,minimalist,Single
Two tables in the hallway with a minimalist style.,table,hallway,minimalist,Two
Three tables in a minimalist hallway.,table,hallway,minimalist,Three
"

Minimalist hallway with a long wooden table against the wall.",table,hallway,minimalist,Multiple
A rustic style table in the hallway.,table,hallway,rustic,Single
Two tables in the hallway with a rustic style.,table,hallway,rustic,Two
Three tables in a rustic hallway.,table,hallway,rustic,Three
"

A rustic-style hallway with a long wooden table.",table,hallway,rustic,Multiple
"

A single industrial-style table in the hallway.",table,hallway,industrial,Single
Two tables in the hallway with an industrial style.,table,hallway,industrial,Two
Three tables in the hallway with an industrial style.,table,hallway,industrial,Three
"

A table with industrial metal legs and a distressed wood top in the hallway.",table,hallway,industrial,Multiple
"A single, elegant table in the hallway, adorned with plush velvet cushions and a golden ornate base.",table,hallway,luxury,Single
Two tables in the hallway with a luxury style.,table,hallway,luxury,Two
Three tables in a grand hallway with a luxury style.,table,hallway,luxury,Three
"

A table with marble top and gold accents in a grand hallway with plush rugs and chandeliers.",table,hallway,luxury,Multiple
"

A single vintage table in the hallway.",table,hallway,vintage,Single
Two tables in the hallway with a vintage style.,table,hallway,vintage,Two
Three tables in the hallway with a vintage style.,table,hallway,vintage,Three
"

A vintage table with checkered pattern in the hallway.",table,hallway,vintage,Multiple
"

A single table in the hallway with a Scandinavian design.",table,hallway,scandinavian,Single
Two tables in the hallway with a scandinavian style.,table,hallway,scandinavian,Two
Three tables in a hallway with a Scandinavian style.,table,hallway,scandinavian,Three
"

A Scandinavian-style hallway with a wooden table against the wall, adorned with fresh flowers and a stack of vintage books.",table,hallway,scandinavian,Multiple
"

A single table in the hallway with cluttered decorations and disheveled tablecloth.",table,hallway,messy,Single
Two tables in the hallway with a messy style.,table,hallway,messy,Two
Three tables in a hallway with a messy style.,table,hallway,messy,Three
"

A messy hallway with a cluttered table.",table,hallway,messy,Multiple
A single table in the hallway with a clean design.,table,hallway,clean,Single
Two tables in the hallway with a clean design.,table,hallway,clean,Two
Three tables in a clean hallway.,table,hallway,clean,Three
"

A clean-lined hallway with a wooden table against the wall.",table,hallway,clean,Multiple
"A single table in the hallway with a rustic, country style.",table,hallway,cozy,Single
Two tables in the hallway with a cozy style.,table,hallway,cozy,Two
Three tables in a cozy hallway.,table,hallway,cozy,Three
"

A table with plush tablecloth and wooden chairs in a cozy hallway.",table,hallway,cozy,Multiple
"

A single table in a laundry room with a modern design.",table,laundry room,modern,Single
Two tables in a laundry room with a modern style.,table,laundry room,modern,Two
Three tables in a laundry room with a modern style.,table,laundry room,modern,Three
"

A modern-style laundry room with a table for folding clothes.",table,laundry room,modern,Multiple
"

Minimalist style laundry room with a single table.",table,laundry room,minimalist,Single
Two tables in a minimalist laundry room.,table,laundry room,minimalist,Two
Three tables in a minimalist laundry room.,table,laundry room,minimalist,Three
"

Minimalist style laundry room with a wooden table.",table,laundry room,minimalist,Multiple
"

A rustic-style laundry table with worn wood finish and iron legs.",table,laundry room,rustic,Single
Two tables in the laundry room with a rustic style.,table,laundry room,rustic,Two
Three tables in the laundry room with a rustic style.,table,laundry room,rustic,Three
"

A rustic-style laundry room with a wooden table.",table,laundry room,rustic,Multiple
"

Laundry room: Industrial style table with metal legs and a concrete top.",table,laundry room,industrial,Single
Two industrial style tables in the laundry room.,table,laundry room,industrial,Two
Three tables in a laundry room with an industrial style.,table,laundry room,industrial,Three
"

Laundry room with an industrial style: A large, metal table with worn edges, used for folding clothes, surrounded by shelves filled with detergent bottles and mending kits.",table,laundry room,industrial,Multiple
"

Luxury laundry room: A single, marble-topped table with gold accents and plush, velvet chairs.",table,laundry room,luxury,Single
Two tables in a laundry room with a luxury style.,table,laundry room,luxury,Two
"Three tables in a spacious laundry room with a contemporary design. Three tables in a sunlit laundry room with a rustic style. Three tables in a sleek, minimalist laundry room. Three tables in a laundry room with a vintage, sh",table,laundry room,luxury,Three
"

Luxury style laundry room with a large, marble-topped table. White, woven baskets line the edges, filled with freshly folded linens. Gold accents add a touch of elegance.",table,laundry room,luxury,Multiple
"

A vintage laundry table with a distressed finish and iron legs.",table,laundry room,vintage,Single
Two vintage tables in the laundry room.,table,laundry room,vintage,Two
Three tables in the laundry room with a vintage style.,table,laundry room,vintage,Three
"

A vintage-style laundry room with a wooden table.",table,laundry room,vintage,Multiple
"

A single table in a laundry room with a Scandinavian design.",table,laundry room,scandinavian,Single
"

Two tables in a laundry room with a Scandinavian style.",table,laundry room,scandinavian,Two
Three tables in a laundry room with a Scandinavian style.,table,laundry room,scandinavian,Three
"

A Scandinavian-style laundry room with a wooden table.",table,laundry room,scandinavian,Multiple
"

A table in the laundry room with clothes piled high, towels crumpled and scattered, and detergent bottles half-empty.",table,laundry room,messy,Single
Two tables in the laundry room with a messy style.,table,laundry room,messy,Two
Three tables in a cluttered laundry room.,table,laundry room,messy,Three
"

A table in the laundry room with clothes piled high, towels crumpled and scattered, and detergent bottles half-empty.",table,laundry room,messy,Multiple
"

A single, clean-lined table in a laundry room.",table,laundry room,clean,Single
Two tables in a clean laundry room.,table,laundry room,clean,Two
Three tables in a clean laundry room.,table,laundry room,clean,Three
"

A clean, minimalist laundry room with a white table in the center.",table,laundry room,clean,Multiple
"

A single table in a laundry room with a cozy country style.",table,laundry room,cozy,Single
Two tables in a laundry room with a cozy style.,table,laundry room,cozy,Two
Three tables in a cozy laundry room.,table,laundry room,cozy,Three
"

A cozy laundry room with a wooden table.",table,laundry room,cozy,Multiple
"

A single modern-style table in the basement.",table,basement,modern,Single
Two tables in the basement with a modern style.,table,basement,modern,Two
Three tables in a basement with a modern design.,table,basement,modern,Three
"

A modern-style basement with a large, sleek table.",table,basement,modern,Multiple
"

Minimalist style basement: A single table with clean lines and a sleek surface.",table,basement,minimalist,Single
Two tables in the basement with a minimalist style.,table,basement,minimalist,Two
Three tables in a minimalist basement.,table,basement,minimalist,Three
"

Minimalist basement: A table with four wooden chairs, exposed brick walls.",table,basement,minimalist,Multiple
"

A rustic-style table in the basement.",table,basement,rustic,Single
Two rustic tables in the basement.,table,basement,rustic,Two
Three tables in a rustic basement.,table,basement,rustic,Three
"

A rustic-style basement with a large, worn wooden table.",table,basement,rustic,Multiple
"

Table in the basement with industrial style. Concrete top, metal legs, exposed bolts. Old, weathered appearance. Rustic charm.",table,basement,industrial,Single
Two tables in the basement with an industrial style.,table,basement,industrial,Two
Three tables in a dimly lit basement with exposed brick walls.,table,basement,industrial,Three
"

A table with metal legs and a rough concrete top, surrounded by industrial-style chairs, in a dimly lit basement.",table,basement,industrial,Multiple
"

A single table in the basement, adorned with a rich, dark wood finish and intricately carved legs. The tabletop is made of polished marble, with gold accents and a velvet tablecloth. Crystal",table,basement,luxury,Single
"

Two tables in the basement, each adorned with marble tops and ornate gold legs. Plush velvet chairs surround them, upholstered in rich burgundy fabric. Crystal chandeliers hang overhead,",table,basement,luxury,Two
Three tables in a basement with a luxury style.,table,basement,luxury,Three
"

A table of rich mahogany, adorned with gold accents and crystal clear glass top, in a dimly lit basement with plush velvet chairs and soft rugs.",table,basement,luxury,Multiple
"

A vintage table in the dimly lit basement. Its worn wooden surface bears the marks of time, with intricate carvings and a faded, distressed finish. The legs are made of iron, with ornate designs and a rust",table,basement,vintage,Single
Two vintage tables in the basement.,table,basement,vintage,Two
Three tables in the basement with a vintage style.,table,basement,vintage,Three
"

A vintage-style basement with a wooden table, adorned with checkered cloth and old, rustic chairs.",table,basement,vintage,Multiple
"

A single table in the basement with a Scandinavian design.",table,basement,scandinavian,Single
"

Table with two Scandinavian-style chairs in a basement.",table,basement,scandinavian,Two
Three tables in the basement with a scandinavian style.,table,basement,scandinavian,Three
"

A Scandinavian-style basement with a wooden table, surrounded by soft, natural-toned chairs. The table is adorned with simple, clean lines and a warm, rustic finish. The basement is illum",table,basement,scandinavian,Multiple
"

A single table in the basement, cluttered with various items.",table,basement,messy,Single
Two tables in the basement with cluttered surroundings.,table,basement,messy,Two
Three tables in a cluttered basement.,table,basement,messy,Three
"

A cluttered basement with piles of boxes and old furniture. In the corner, a large, worn wooden table, covered in dust and debris. The table's surface is uneven, with scratches and stains.",table,basement,messy,Multiple
"

Table in the basement with a clean, minimalist design.",table,basement,clean,Single
Two tables in a clean basement.,table,basement,clean,Two
Three tables in a clean basement.,table,basement,clean,Three
"

A clean-styled basement with a wooden table, its surface free of clutter.",table,basement,clean,Multiple
"

A single table in a basement with plush rug and warm lighting.",table,basement,cozy,Single
Two tables in the basement with a cozy style.,table,basement,cozy,Two
Three tables in a cozy basement with soft lighting.,table,basement,cozy,Three
"

A table in the basement with a rustic, cozy style, surrounded by plush cushions and warm blankets.",table,basement,cozy,Multiple
"

Table in the garden with a modern design, featuring sleek lines and minimalist decor.",table,garden,modern,Single
Two tables in a garden with a modern style.,table,garden,modern,Two
Three tables in a contemporary garden setting.,table,garden,modern,Three
"

A table with a modern design in a garden setting, surrounded by lush greenery.",table,garden,modern,Multiple
"

Minimalist style table in the garden.",table,garden,minimalist,Single
Two minimalist tables in a garden.,table,garden,minimalist,Two
Three small tables in a minimalist garden.,table,garden,minimalist,Three
"

Minimalist style garden with a wooden table and two chairs.",table,garden,minimalist,Multiple
"

Table in the garden with a rustic style, made of reclaimed wood.",table,garden,rustic,Single
Two rustic tables in a garden setting.,table,garden,rustic,Two
Three rustic tables in a garden setting.,table,garden,rustic,Three
"

A rustic-style table with benches in a sunlit garden.",table,garden,rustic,Multiple
"

Table in the garden with an industrial style. Metal frame, rough concrete top, and distressed finish.",table,garden,industrial,Single
Two industrial style tables in a garden.,table,garden,industrial,Two
Three tables in a garden with an industrial style.,table,garden,industrial,Three
"

A table with industrial elements in a garden setting. Metal legs, rough wood top, and distressed finish. Accompanied by several metal chairs.",table,garden,industrial,Multiple
"

Table in the garden, adorned with marble top and ornate gold legs, surrounded by plush velvet cushions and lush greenery.",table,garden,luxury,Single
Two elegant tables in a lush garden setting.,table,garden,luxury,Two
Three tables in a lush garden with a luxury style.,table,garden,luxury,Three
"

A table with intricately carved legs, adorned with gold accents, in a lush garden setting surrounded by vibrant flowers and lush greenery. The table seats six, with plush velvet chairs uphol",table,garden,luxury,Multiple
"

Table in the garden with vintage decorations.",table,garden,vintage,Single
Two vintage tables in a garden setting.,table,garden,vintage,Two
Three vintage tables in a garden setting.,table,garden,vintage,Three
"

A vintage table with checkered cloth and wrought iron legs, surrounded by four mismatched chairs in a lush garden setting.",table,garden,vintage,Multiple
"

A single table in a garden with a Scandinavian design.",table,garden,scandinavian,Single
"

Two tables in a garden with a Scandinavian style.",table,garden,scandinavian,Two
Three tables in a serene garden with a Scandinavian design.,table,garden,scandinavian,Three
"

A Scandinavian-style table with fresh herbs in a sunlit garden.",table,garden,scandinavian,Multiple
"

Table in the garden with wildflowers growing around it, petals scattered, and a rustic, weathered look.",table,garden,messy,Single
Two tables in the garden with a messy style.,table,garden,messy,Two
Three potted plants on a messy garden table.,table,garden,messy,Three
"

A table with mismatched legs in a messy garden corner.",table,garden,messy,Multiple
"

Table in the garden with a clean, minimalist design.",table,garden,clean,Single
Two tables in a garden with a clean design.,table,garden,clean,Two
"Three potted plants on a clean, white table in the garden.",table,garden,clean,Three
"

Table with four chairs in a clean, minimalist garden setting.",table,garden,clean,Multiple
"

A single table in a garden with a cozy, rustic style. It has a worn wooden surface, surrounded by potted plants and colorful flowers. The table is adorned with a checkered tablecloth and a v",table,garden,cozy,Single
Two small tables in a garden with a cozy style.,table,garden,cozy,Two
Three potted plants on a cozy table in the garden.,table,garden,cozy,Three
"

A small, round table with a red checkered cloth in a sunlit garden corner, surrounded by plush cushioned chairs.",table,garden,cozy,Multiple
"

A single modern-style table in a patio setting.",table,patio,modern,Single
Two tables in a patio with a modern style.,table,patio,modern,Two
Three tables in a contemporary patio setting.,table,patio,modern,Three
"

A patio with a modern style featuring a table and four chairs.",table,patio,modern,Multiple
"

Minimalist style patio with a single table.",table,patio,minimalist,Single
Two minimalist tables in a patio setting.,table,patio,minimalist,Two
Three small tables in a minimalist patio.,table,patio,minimalist,Three
"

Minimalist patio with a rectangular table and four chairs.",table,patio,minimalist,Multiple
"

A rustic patio table with weathered wood finish.",table,patio,rustic,Single
Two rustic patio tables.,table,patio,rustic,Two
Three rustic tables in a patio setting.,table,patio,rustic,Three
"

A patio with a rustic style, featuring a large wooden table.",table,patio,rustic,Multiple
"

A single industrial-style table in a patio setting.",table,patio,industrial,Single
Two industrial style tables in the patio.,table,patio,industrial,Two
Three tables in a patio with an industrial style.,table,patio,industrial,Three
"

Patio with an industrial style: a large table made of metal pipes and concrete, with four chairs in black metal surrounding it.",table,patio,industrial,Multiple
"

A single, elegant marble-topped table with ornate gold accents, nestled among lush greenery and colorful flowers in a tranquil patio setting.",table,patio,luxury,Single
Two tables in a patio with a luxury style.,table,patio,luxury,Two
Three tables in a patio with a luxury style.,table,patio,luxury,Three
"

A patio adorned with a large, marble-topped table, surrounded by plush, upholstered chairs in rich fabrics.",table,patio,luxury,Multiple
"

A vintage patio table with intricate carvings and a distressed finish.",table,patio,vintage,Single
Two vintage tables in the patio.,table,patio,vintage,Two
Three vintage tables in a patio setting.,table,patio,vintage,Three
"

A vintage patio scene with a wooden table, adorned with checkered tablecloth and aged wicker chairs.",table,patio,vintage,Multiple
"

A single table in a patio with a Scandinavian design.",table,patio,scandinavian,Single
Two tables in a patio with a scandinavian style.,table,patio,scandinavian,Two
Three tables in a patio with a scandinavian style.,table,patio,scandinavian,Three
"

A patio with a Scandinavian style, featuring a wooden table with benches for seating.",table,patio,scandinavian,Multiple
"

A patio table with a rustic, messy style, covered in various plates and glasses.",table,patio,messy,Single
Two tables in the patio with a messy style.,table,patio,messy,Two
Three tables in a patio with a messy style.,table,patio,messy,Three
"

A patio with a messy style, featuring a table covered in various items: old books, empty mugs, paintbrushes, and half-finished canvases.",table,patio,messy,Multiple
"

A single clean-lined table in a patio setting.",table,patio,clean,Single
Two tables in a clean patio.,table,patio,clean,Two
Three tables in a clean patio.,table,patio,clean,Three
"

A patio with a clean style, featuring a multiple of a table.",table,patio,clean,Multiple
"

A single table in a patio with a cozy, rustic style.",table,patio,cozy,Single
Two small tables in a patio with a cozy style.,table,patio,cozy,Two
Three small tables in a patio with a cozy style.,table,patio,cozy,Three
"

A patio with a cozy style, featuring a table large enough for four people.",table,patio,cozy,Multiple
A modern living room with a single sofa.,sofa,living room,modern,Single
Two sofas in a modern living room.,sofa,living room,modern,Two
Three sofas in a contemporary living room.,sofa,living room,modern,Three
A living room with a modern style featuring a sofa.,sofa,living room,modern,Multiple
"

Minimalist living room with a single sofa in neutral tones.",sofa,living room,minimalist,Single
Two sofas in a minimalist living room.,sofa,living room,minimalist,Two
Three sofas in a minimalist living room.,sofa,living room,minimalist,Three
Minimalist living room with a single sofa.,sofa,living room,minimalist,Multiple
"A rustic living room with a large, worn leather sofa.",sofa,living room,rustic,Single
Two sofas in a rustic living room.,sofa,living room,rustic,Two
Three sofas in a rustic living room.,sofa,living room,rustic,Three
"A rustic living room with a large, worn-out sofa.",sofa,living room,rustic,Multiple
"

A living room featuring an industrial-style sofa.",sofa,living room,industrial,Single
Two sofas in an industrial living room.,sofa,living room,industrial,Two
Three sofas in a living room with an industrial style.,sofa,living room,industrial,Three
"An industrial-style living room with a large, metal-framed sofa.",sofa,living room,industrial,Multiple
"A single, plush, velvet sofa with gold accents in a contemporary living room.",sofa,living room,luxury,Single
Two sofas in a luxurious living room.,sofa,living room,luxury,Two
"Three sofas in a spacious living room with a plush, opulent design.",sofa,living room,luxury,Three
"A plush, velvet sofa with gold accents in a grand, opulent living room.",sofa,living room,luxury,Multiple
"

A vintage-style living room with a plush, floral-patterned sofa.",sofa,living room,vintage,Single
Two vintage sofas in the living room.,sofa,living room,vintage,Two
Three sofas in a vintage living room.,sofa,living room,vintage,Three
"

A vintage living room with a plush, floral-patterned sofa.",sofa,living room,vintage,Multiple
"

A single sofa in a Scandinavian-style living room.",sofa,living room,scandinavian,Single
Two sofas in a living room with a scandinavian style.,sofa,living room,scandinavian,Two
Three sofas in a light-filled living room with a Scandinavian design.,sofa,living room,scandinavian,Three
"

A living room featuring a Scandinavian-style sofa with clean lines and minimalist design.",sofa,living room,scandinavian,Multiple
"

A living room with a messy style, featuring a large, worn-out sofa with faded floral prints. The cushions are lopsided and the fabric is frayed at the edges. The sofa is surrounded by piles of",sofa,living room,messy,Single
Two sofas in a living room with a messy style.,sofa,living room,messy,Two
Three sofas in a cluttered living room.,sofa,living room,messy,Three
"

A living room with a bohemian flair, featuring a large, eclectic sofa covered in colorful throw pillows and blankets.",sofa,living room,messy,Multiple
A single clean-lined sofa in the living room.,sofa,living room,clean,Single
Two sofas in a clean living room.,sofa,living room,clean,Two
Three sofas in a minimalist living room.,sofa,living room,clean,Three
A living room with a clean design featuring a single sofa.,sofa,living room,clean,Multiple
"A single, plush sofa with a warm, inviting color palette in a cozy living room.",sofa,living room,cozy,Single
Two sofas in a cozy living room.,sofa,living room,cozy,Two
Three sofas in a cozy living room.,sofa,living room,cozy,Three
"A plush, floral-patterned sofa in a rustic living room.",sofa,living room,cozy,Multiple
A modern bedroom with a single sofa.,sofa,bedroom,modern,Single
Two sofas in a modern bedroom.,sofa,bedroom,modern,Two
Three sofas in a contemporary bedroom.,sofa,bedroom,modern,Three
A modern bedroom with a sofa in shades of gray.,sofa,bedroom,modern,Multiple
"

Minimalist bedroom with a single sofa in neutral tones.",sofa,bedroom,minimalist,Single
Two sofas in a minimalist bedroom.,sofa,bedroom,minimalist,Two
Three sofas in a minimalist bedroom.,sofa,bedroom,minimalist,Three
Minimalist bedroom with a single sofa.,sofa,bedroom,minimalist,Multiple
"A rustic bedroom with a large, worn-wood sofa.",sofa,bedroom,rustic,Single
Two sofas in a rustic bedroom.,sofa,bedroom,rustic,Two
Three sofas in a rustic bedroom.,sofa,bedroom,rustic,Three
"A rustic bedroom with a large, wooden sofa.",sofa,bedroom,rustic,Multiple
"

A bedroom featuring an industrial-style sofa.",sofa,bedroom,industrial,Single
Two sofas in a bedroom with an industrial style.,sofa,bedroom,industrial,Two
Three sofas in a bedroom with an industrial style.,sofa,bedroom,industrial,Three
"

A bedroom featuring an industrial-style sofa.",sofa,bedroom,industrial,Multiple
"A regal, velvet-upholstered sofa with gold accents in a spacious, opulent bedroom.",sofa,bedroom,luxury,Single
Two sofas in a bedroom with a luxury style.,sofa,bedroom,luxury,Two
"Three sofas in a spacious bedroom with a plush, opulent design.",sofa,bedroom,luxury,Three
"A large, plush, velvet sofa with gold accents in a luxurious bedroom.",sofa,bedroom,luxury,Multiple
A vintage-style single sofa in the bedroom.,sofa,bedroom,vintage,Single
Two vintage sofas in the bedroom.,sofa,bedroom,vintage,Two
Three sofas in a vintage bedroom.,sofa,bedroom,vintage,Three
"

A vintage bedroom with a plush, floral-patterned sofa.",sofa,bedroom,vintage,Multiple
A single sofa in a bedroom with a scandinavian design.,sofa,bedroom,scandinavian,Single
Two sofas in a bedroom with a scandinavian style.,sofa,bedroom,scandinavian,Two
Three sofas in a bedroom with a scandinavian style.,sofa,bedroom,scandinavian,Three
"

A Scandinavian-style bedroom with a wooden floor and large windows. A light-colored sofa with clean lines and a minimalist design sits in the corner, next to a white wall. The sofa is accompanied by a pair",sofa,bedroom,scandinavian,Multiple
"A bedroom with a messy style, a large, worn-out sofa with torn fabric and visible stains.",sofa,bedroom,messy,Single
Two sofas in a bedroom with a messy style.,sofa,bedroom,messy,Two
Three sofas in a bedroom with a messy style.,sofa,bedroom,messy,Three
"

A bedroom with a bohemian aesthetic, featuring a large, eclectic sofa with colorful pillows and throws, surrounded by cluttered bookshelves and piles of vintage books.",sofa,bedroom,messy,Multiple
A single clean-lined sofa in a bedroom.,sofa,bedroom,clean,Single
Two sofas in a clean bedroom.,sofa,bedroom,clean,Two
Three sofas in a bedroom with a clean design.,sofa,bedroom,clean,Three
A clean-lined bedroom with a sofa in a neutral color palette.,sofa,bedroom,clean,Multiple
A single cozy sofa in a bedroom.,sofa,bedroom,cozy,Single
Two sofas in a cozy bedroom.,sofa,bedroom,cozy,Two
Three sofas in a cozy bedroom.,sofa,bedroom,cozy,Three
"A cozy bedroom with a wooden floor and a large window. Two sofas facing each other, one with a floral print and the other with a gray velvet cover.",sofa,bedroom,cozy,Multiple
A modern single sofa in the kitchen.,sofa,kitchen,modern,Single
Two sofas in a kitchen with a modern style.,sofa,kitchen,modern,Two
Three sofas in a contemporary kitchen.,sofa,kitchen,modern,Three
Modern kitchen with a sofa in it.,sofa,kitchen,modern,Multiple
"

Minimalist kitchen with a single sofa, upholstered in a neutral tone fabric, featuring clean lines and a slim profile.",sofa,kitchen,minimalist,Single
Two sofas in a kitchen with a minimalist style.,sofa,kitchen,minimalist,Two
Three sofas in a minimalist kitchen.,sofa,kitchen,minimalist,Three
Minimalist kitchen with a sofa in shades of gray.,sofa,kitchen,minimalist,Multiple
"

A single sofa in a rustic kitchen setting.",sofa,kitchen,rustic,Single
Two sofas in a kitchen with a rustic style.,sofa,kitchen,rustic,Two
Three sofa seats in a kitchen with a rustic design.,sofa,kitchen,rustic,Three
"

A rustic kitchen with a large wooden sofa against a brick backsplash.",sofa,kitchen,rustic,Multiple
"

A single industrial-style sofa in the kitchen.",sofa,kitchen,industrial,Single
Two sofas in a kitchen with an industrial style.,sofa,kitchen,industrial,Two
Three sofas in a kitchen with an industrial style.,sofa,kitchen,industrial,Three
"

A kitchen with an industrial theme, featuring a multiple of a large, metal-framed sofa.",sofa,kitchen,industrial,Multiple
"

A single, high-end sofa in a kitchen, upholstered in rich, velvet fabric, with elegant silver nailhead trim and plush cushions.",sofa,kitchen,luxury,Single
Two sofas in a kitchen with a luxury style.,sofa,kitchen,luxury,Two
Three sofas in a kitchen with a luxury style.,sofa,kitchen,luxury,Three
