prompt,class,environment,weather,amount
Two buffalo in a dusty trail during the wet season.,buffalo,dusty trail,wet season,Two
Three buffalo in a dusty trail during the wet season.,buffalo,dusty trail,wet season,Three
"

A herd of buffalos in a dusty trail during the wet season.",buffalo,dusty trail,wet season,Multiple
"

A single elephant in the savannah under the sunny sky.",elephant,savannah,sunny,Single
Two elephants in the savannah under a sunny sky.,elephant,savannah,sunny,Two
Three elephants in the sunny savannah.,elephant,savannah,sunny,Three
"

A sunny day in the savannah with ten elephants.",elephant,savannah,sunny,Multiple
"

A lone elephant in the savannah under cloudy skies.",elephant,savannah,cloudy,Single
Two elephants in the savannah under cloudy weather.,elephant,savannah,cloudy,Two
Three elephants in the cloudy savannah.,elephant,savannah,cloudy,Three
"

A herd of eleven elephants in a cloudy savannah.",elephant,savannah,cloudy,Multiple
"

A lone elephant in the savannah during a rain shower.",elephant,savannah,rainy,Single
Two elephants in the savannah during rainy weather.,elephant,savannah,rainy,Two
Three elephants in the rain-soaked savannah.,elephant,savannah,rainy,Three
"

A rainy savannah populated by numerous elephants.",elephant,savannah,rainy,Multiple
An elephant in the savannah during a storm.,elephant,savannah,stormy,Single
Two elephants in the savannah during a storm.,elephant,savannah,stormy,Two
"Three elephants in the savannah during a storm. Elephants, stormy savannah. Three elephants amidst a stormy savannah. Three elephants in the stormy savannah. Eleph",elephant,savannah,stormy,Three
"

A herd of eleven elephants in a stormy savannah.",elephant,savannah,stormy,Multiple
"

A lone elephant in the savannah amidst foggy weather.",elephant,savannah,foggy,Single
Two elephants in the savannah shrouded in fog.,elephant,savannah,foggy,Two
Three elephants in the foggy savannah.,elephant,savannah,foggy,Three
"

A foggy savannah is home to a herd of eleven elephants.",elephant,savannah,foggy,Multiple
"

A lone elephant in the savannah under a windy sky.",elephant,savannah,windy,Single
Two elephants in the savannah under a windy sky.,elephant,savannah,windy,Two
Three elephants in the savannah under a windy sky.,elephant,savannah,windy,Three
"

A herd of eleven elephants in the windy savannah.",elephant,savannah,windy,Multiple
"

A lone elephant in the vast savannah under clear skies.",elephant,savannah,clear,Single
Two elephants in the savannah under clear skies.,elephant,savannah,clear,Two
Three elephants in the savannah under clear skies.,elephant,savannah,clear,Three
"

A clear day in the savannah, home to numerous elephants. The vast grasslands stretch out as far as the eye can see, dotted with herds of these majestic creatures. Their gray bodies glisten in the",elephant,savannah,clear,Multiple
"

A lone elephant in the savannah during the dry season.",elephant,savannah,dry season,Single
Two elephants in the savannah during the dry season.,elephant,savannah,dry season,Two
Three elephants in the savannah during the dry season.,elephant,savannah,dry season,Three
"

A herd of eleven elephants in a savannah during the dry season.",elephant,savannah,dry season,Multiple
"

A lone elephant in the savannah during the wet season.",elephant,savannah,wet season,Single
Two elephants in the savannah during the wet season.,elephant,savannah,wet season,Two
Three elephants in the savannah during the wet season.,elephant,savannah,wet season,Three
"

A herd of eleven elephants in a savannah during the wet season.",elephant,savannah,wet season,Multiple
"

A solitary elephant in the sun-kissed grassland.",elephant,grassland,sunny,Single
Two elephants in the sunny grassland.,elephant,grassland,sunny,Two
Three elephants in the sunny grassland.,elephant,grassland,sunny,Three
"

A herd of eleven elephants in a sunlit grassland.",elephant,grassland,sunny,Multiple
"

A solitary elephant in the grassland under overcast skies.",elephant,grassland,cloudy,Single
Two elephants in the grassland under cloudy weather.,elephant,grassland,cloudy,Two
Three elephants in the grassland under cloudy weather.,elephant,grassland,cloudy,Three
"

A herd of eleven elephants in a cloudy grassland.",elephant,grassland,cloudy,Multiple
"

A solitary elephant in the grassland amidst a rain shower.",elephant,grassland,rainy,Single
Two elephants in the grassland during rain.,elephant,grassland,rainy,Two
Three elephants in the grassland during rain.,elephant,grassland,rainy,Three
"

A herd of eleven elephants in a rain-soaked grassland.",elephant,grassland,rainy,Multiple
"

A lone elephant in the grassland amidst a stormy weather.",elephant,grassland,stormy,Single
Two elephants in the grassland amidst a storm.,elephant,grassland,stormy,Two
Three elephants in the grassland during a storm.,elephant,grassland,stormy,Three
"

A herd of eleven elephants in a stormy grassland.",elephant,grassland,stormy,Multiple
"

A lone elephant in the foggy grassland.",elephant,grassland,foggy,Single
Two elephants in the foggy grassland.,elephant,grassland,foggy,Two
Three elephants in the foggy grassland.,elephant,grassland,foggy,Three
"

A herd of elephants in a foggy grassland.",elephant,grassland,foggy,Multiple
"

A solitary elephant in the vast grassland, with the wind whipping through its ears.",elephant,grassland,windy,Single
Two elephants in the grassland amidst a windy day.,elephant,grassland,windy,Two
Three elephants in the grassland amidst a windy day.,elephant,grassland,windy,Three
"

A herd of eleven elephants in a windy grassland.",elephant,grassland,windy,Multiple
"

A solitary elephant in the vast grassland under a clear sky.",elephant,grassland,clear,Single
Two elephants in the grassland under clear skies.,elephant,grassland,clear,Two
Three elephants in the grassland under clear skies.,elephant,grassland,clear,Three
"

Clear day in the grassland, home to numerous elephants. Elephants roam freely, their gray bodies casting long shadows against the golden grass. The sun beats down, warming the vast expanse of land. A",elephant,grassland,clear,Multiple
"

A solitary elephant in the arid grassland during the dry season.",elephant,grassland,dry season,Single
Two elephants in the grassland during the dry season.,elephant,grassland,dry season,Two
Three elephants in the grassland during the dry season.,elephant,grassland,dry season,Three
"

Elephants in a grassland during the dry season.",elephant,grassland,dry season,Multiple
"

A lone elephant in the grassland during the wet season.",elephant,grassland,wet season,Single
Two elephants in the grassland during the wet season.,elephant,grassland,wet season,Two
Three elephants in the grassland during the wet season.,elephant,grassland,wet season,Three
"

Elephants in a grassland during the wet season.",elephant,grassland,wet season,Multiple
"

A single elephant at a sunlit watering hole.",elephant,watering hole,sunny,Single
Two elephants at a watering hole under the sunny sky.,elephant,watering hole,sunny,Two
Three elephants at a sunlit watering hole.,elephant,watering hole,sunny,Three
"

A sunny watering hole teeming with ten elephants.",elephant,watering hole,sunny,Multiple
"

A solitary elephant at a cloudy watering hole.",elephant,watering hole,cloudy,Single
Two elephants at a watering hole in cloudy weather.,elephant,watering hole,cloudy,Two
Three elephants at a cloudy watering hole.,elephant,watering hole,cloudy,Three
"

A group of five elephants gathered around a watering hole, the sky overhead shrouded in thick, gray clouds.",elephant,watering hole,cloudy,Multiple
"

A solitary elephant stands in the middle of a watering hole, surrounded by rippling water, under a rain-soaked sky.",elephant,watering hole,rainy,Single
Two elephants at a rainy watering hole.,elephant,watering hole,rainy,Two
Three elephants at a rain-soaked watering hole.,elephant,watering hole,rainy,Three
"

A rainy watering hole teeming with numerous elephants.",elephant,watering hole,rainy,Multiple
"

A lone elephant at a stormy watering hole",elephant,watering hole,stormy,Single
Two elephants at a watering hole during a storm.,elephant,watering hole,stormy,Two
Three elephants at a stormy watering hole.,elephant,watering hole,stormy,Three
"

A group of eleven elephants at a stormy watering hole.",elephant,watering hole,stormy,Multiple
"

A lone elephant stands at the edge of a misty watering hole.",elephant,watering hole,foggy,Single
Two elephants at a watering hole in foggy conditions.,elephant,watering hole,foggy,Two
Three elephants in the misty watering hole.,elephant,watering hole,foggy,Three
"

A foggy watering hole teems with a dozen elephants.",elephant,watering hole,foggy,Multiple
"

A solitary elephant at a windy watering hole.",elephant,watering hole,windy,Single
Two elephants at a watering hole in windy weather.,elephant,watering hole,windy,Two
Three elephants at a windy watering hole.,elephant,watering hole,windy,Three
"

Multiple elephants at a windy watering hole.",elephant,watering hole,windy,Multiple
"

A single elephant at a clear watering hole.",elephant,watering hole,clear,Single
Two elephants at a watering hole with clear weather.,elephant,watering hole,clear,Two
Three elephants at a watering hole under clear skies.,elephant,watering hole,clear,Three
"

Clear weather at a watering hole, home to ten elephants.",elephant,watering hole,clear,Multiple
"

A solitary elephant at a parched watering hole during the dry season.",elephant,watering hole,dry season,Single
Two elephants at a watering hole during the dry season.,elephant,watering hole,dry season,Two
Three elephants at a watering hole during the dry season.,elephant,watering hole,dry season,Three
"

Multiple elephants at a watering hole during the dry season.",elephant,watering hole,dry season,Multiple
"

A solitary elephant stands in the muddy watering hole during the wet season.",elephant,watering hole,wet season,Single
Two elephants at a watering hole during the wet season.,elephant,watering hole,wet season,Two
Three elephants at a watering hole during the wet season.,elephant,watering hole,wet season,Three
"

Elephants gathered around a watering hole during the wet season.",elephant,watering hole,wet season,Multiple
"

A single elephant on the riverbank under the sunny sky.",elephant,riverbank,sunny,Single
Two elephants at the riverbank under the sunny weather.,elephant,riverbank,sunny,Two
Three elephants on a sunny riverbank.,elephant,riverbank,sunny,Three
"

A sunny riverbank dotted with ten elephants.",elephant,riverbank,sunny,Multiple
"

A single elephant on the riverbank under cloudy weather.",elephant,riverbank,cloudy,Single
Two elephants at the riverbank under cloudy weather.,elephant,riverbank,cloudy,Two
Three elephants on a cloudy riverbank.,elephant,riverbank,cloudy,Three
"

Multiple elephants at the riverbank under cloudy weather.",elephant,riverbank,cloudy,Multiple
"

A single elephant on the rain-soaked riverbank.",elephant,riverbank,rainy,Single
Two elephants on a rainy riverbank.,elephant,riverbank,rainy,Two
Three elephants on a rainy riverbank.,elephant,riverbank,rainy,Three
"

A rainy riverbank with several elephants standing in the mud.",elephant,riverbank,rainy,Multiple
"

A single elephant on the riverbank amidst a stormy weather.",elephant,riverbank,stormy,Single
Two elephants on a riverbank during a storm.,elephant,riverbank,stormy,Two
Three elephants on a stormy riverbank.,elephant,riverbank,stormy,Three
"

Multiple elephants at the riverbank during a stormy weather.",elephant,riverbank,stormy,Multiple
"

A single elephant on the riverbank in the fog.",elephant,riverbank,foggy,Single
Two elephants on a foggy riverbank.,elephant,riverbank,foggy,Two
Three elephants on a foggy riverbank.,elephant,riverbank,foggy,Three
"

A foggy riverbank with the silhouettes of several elephants standing still.",elephant,riverbank,foggy,Multiple
"

A single elephant on the riverbank in a windy weather.",elephant,riverbank,windy,Single
Two elephants at the riverbank in a windy weather.,elephant,riverbank,windy,Two
Three elephants on a windy riverbank.,elephant,riverbank,windy,Three
"

Multiple elephants at a riverbank during a windy day.",elephant,riverbank,windy,Multiple
"

A single elephant on the riverbank under clear skies.",elephant,riverbank,clear,Single
Two elephants at the riverbank under clear weather.,elephant,riverbank,clear,Two
Three elephants on a riverbank under clear skies.,elephant,riverbank,clear,Three
"

Multiple elephants at the riverbank under clear weather.",elephant,riverbank,clear,Multiple
"

A single elephant on a riverbank during the dry season.",elephant,riverbank,dry season,Single
Two elephants on a riverbank during the dry season.,elephant,riverbank,dry season,Two
Three elephants on a riverbank during the dry season.,elephant,riverbank,dry season,Three
"

Multiple elephants at a riverbank during the dry season.",elephant,riverbank,dry season,Multiple
"

A single elephant standing in the riverbank during the wet season.",elephant,riverbank,wet season,Single
Two elephants at the riverbank during the wet season.,elephant,riverbank,wet season,Two
Three elephants on a rainy riverbank.,elephant,riverbank,wet season,Three
"

Multiple elephants at a riverbank during the wet season.",elephant,riverbank,wet season,Multiple
"

A single elephant in the forest under the sunny sky.",elephant,forest,sunny,Single
Two elephants in the forest under a sunny sky.,elephant,forest,sunny,Two
Three elephants in the sunlit forest.,elephant,forest,sunny,Three
"

A sunny day in the forest with ten elephants.",elephant,forest,sunny,Multiple
"

A lone elephant in the forest under overcast skies.",elephant,forest,cloudy,Single
Two elephants in a forest with a cloudy weather.,elephant,forest,cloudy,Two
Three elephants in a forest with a cloudy weather.,elephant,forest,cloudy,Three
"

A herd of eleven elephants in the forest under a cloudy sky.",elephant,forest,cloudy,Multiple
"

A lone elephant in the forest during a rain shower.",elephant,forest,rainy,Single
Two elephants in the forest during rainy weather.,elephant,forest,rainy,Two
Three elephants in the rainforest.,elephant,forest,rainy,Three
"

In a rain-soaked forest, the sound of thunder echoes as ten elephants wade through the muddy waters. The leaves of the trees glisten with raindrops, and the elephants' gray bodies are",elephant,forest,rainy,Multiple
"

A lone elephant in the forest amidst a stormy weather.",elephant,forest,stormy,Single
Two elephants in the forest during a storm.,elephant,forest,stormy,Two
Three elephants in the forest during a stormy weather.,elephant,forest,stormy,Three
"

In a forest, the sound of thunder echoes as ten elephants huddle together, seeking shelter from the storm. Rain pours down in torrents, drenching their gray bodies. The trees around them sway viol",elephant,forest,stormy,Multiple
"

A lone elephant in the forest, enshrouded by fog.",elephant,forest,foggy,Single
Two elephants in the forest shrouded in fog.,elephant,forest,foggy,Two
Three elephants in the foggy forest.,elephant,forest,foggy,Three
"

A foggy forest is home to a herd of eleven elephants.",elephant,forest,foggy,Multiple
"

A lone elephant in the forest amidst windy conditions.",elephant,forest,windy,Single
Two elephants in the forest amidst windy weather.,elephant,forest,windy,Two
Three elephants in the forest amidst windy weather.,elephant,forest,windy,Three
"

A herd of eleven elephants in the forest under a windy day.",elephant,forest,windy,Multiple
"

A single elephant in the forest under clear skies.",elephant,forest,clear,Single
Two elephants in the forest under clear skies.,elephant,forest,clear,Two
Three elephants in a forest with clear weather.,elephant,forest,clear,Three
"

A clear day in the forest, home to ten elephants.",elephant,forest,clear,Multiple
"

A lone elephant in the forest during the dry season.",elephant,forest,dry season,Single
Two elephants in a forest during the dry season.,elephant,forest,dry season,Two
Three elephants in a forest during the dry season.,elephant,forest,dry season,Three
"

During the dry season, a herd of eleven elephants roams through the forest.",elephant,forest,dry season,Multiple
"

A lone elephant in the forest during the wet season.",elephant,forest,wet season,Single
Two elephants in a forest during the wet season.,elephant,forest,wet season,Two
Three elephants in the forest during the wet season.,elephant,forest,wet season,Three
"

Elephants in a forest during the wet season.",elephant,forest,wet season,Multiple
"

A solitary elephant in a jungle clearing under the bright, sunny sky.",elephant,jungle clearing,sunny,Single
Two elephants in a jungle clearing under a sunny sky.,elephant,jungle clearing,sunny,Two
Three elephants in a jungle clearing under a sunny sky.,elephant,jungle clearing,sunny,Three
"

A sunny jungle clearing filled with ten elephants.",elephant,jungle clearing,sunny,Multiple
"

A lone elephant in a jungle clearing under cloudy skies.",elephant,jungle clearing,cloudy,Single
Two elephants in a jungle clearing with cloudy weather.,elephant,jungle clearing,cloudy,Two
Three elephants in a jungle clearing under cloudy skies.,elephant,jungle clearing,cloudy,Three
"

In a jungle clearing, the sound of raindrops hitting the leaves echoes through the air as ten elephants stand huddled together. The low-lying clouds obscure the sun, casting a gray pallor over",elephant,jungle clearing,cloudy,Multiple
"

A solitary elephant in a jungle clearing during the rainy season.",elephant,jungle clearing,rainy,Single
Two elephants in a jungle clearing during rainy weather.,elephant,jungle clearing,rainy,Two
Three elephants in a jungle clearing during rainy weather.,elephant,jungle clearing,rainy,Three
"

In a jungle clearing, the sound of raindrops hitting the leaves echoes through the air as ten elephants stand huddled together. The muddy ground is slick with rain, and the elephants' gray",elephant,jungle clearing,rainy,Multiple
"

A lone elephant in a jungle clearing amidst a stormy weather.",elephant,jungle clearing,stormy,Single
Two elephants in a jungle clearing during a storm.,elephant,jungle clearing,stormy,Two
Three elephants in a jungle clearing during a stormy weather.,elephant,jungle clearing,stormy,Three
"

In a jungle clearing, the sound of thunder rumbles in the distance as ten elephants huddle together for shelter. The rain pours down in torrents, drenching their gray bodies. The air is",elephant,jungle clearing,stormy,Multiple
"

A lone elephant in a jungle clearing, shrouded in fog.",elephant,jungle clearing,foggy,Single
Two elephants in a jungle clearing shrouded in fog.,elephant,jungle clearing,foggy,Two
Three elephants in a jungle clearing shrouded in fog.,elephant,jungle clearing,foggy,Three
"

In a jungle clearing, shrouded in fog, stand ten elephants.",elephant,jungle clearing,foggy,Multiple
"

A solitary elephant in a jungle clearing amidst windy weather.",elephant,jungle clearing,windy,Single
Two elephants in a jungle clearing with a windy weather.,elephant,jungle clearing,windy,Two
Three elephants in a jungle clearing during a windy day.,elephant,jungle clearing,windy,Three
"

A herd of eleven elephants in a jungle clearing under a windy sky.",elephant,jungle clearing,windy,Multiple
"

A solitary elephant in a jungle clearing under clear skies.",elephant,jungle clearing,clear,Single
Two elephants in a jungle clearing with clear weather.,elephant,jungle clearing,clear,Two
Three elephants in a jungle clearing with clear weather.,elephant,jungle clearing,clear,Three
"

A herd of eleven elephants in a jungle clearing under clear skies.",elephant,jungle clearing,clear,Multiple
"

A lone elephant in a jungle clearing during the dry season.",elephant,jungle clearing,dry season,Single
Two elephants in a jungle clearing during the dry season.,elephant,jungle clearing,dry season,Two
Three elephants in a jungle clearing during the dry season.,elephant,jungle clearing,dry season,Three
"

Elephants in a jungle clearing during the dry season.",elephant,jungle clearing,dry season,Multiple
"

A lone elephant in a jungle clearing during the wet season.",elephant,jungle clearing,wet season,Single
Two elephants in a jungle clearing during the wet season.,elephant,jungle clearing,wet season,Two
Three elephants in a jungle clearing during the wet season.,elephant,jungle clearing,wet season,Three
"

Elephants in a jungle clearing during the wet season.",elephant,jungle clearing,wet season,Multiple
"

A lone elephant in the arid plains under the radiant sun.",elephant,dry plains,sunny,Single
Two elephants in the dry plains under a sunny sky.,elephant,dry plains,sunny,Two
Three elephants in the dry plains under a sunny sky.,elephant,dry plains,sunny,Three
"

A herd of eleven elephants in the dry, sunny plains.",elephant,dry plains,sunny,Multiple
"

A lone elephant in the dry plains under cloudy skies.",elephant,dry plains,cloudy,Single
Two elephants in the dry plains under cloudy weather.,elephant,dry plains,cloudy,Two
Three elephants in the dry plains under cloudy weather.,elephant,dry plains,cloudy,Three
"

A herd of eleven elephants in the dry plains under cloudy weather.",elephant,dry plains,cloudy,Multiple
"

A lone elephant in the dry plains during a rainy weather.",elephant,dry plains,rainy,Single
Two elephants in the dry plains during rainy weather.,elephant,dry plains,rainy,Two
Three elephants in the dry plains under rainy weather.,elephant,dry plains,rainy,Three
"

A herd of eleven elephants in the dry plains during a rainy season.",elephant,dry plains,rainy,Multiple
"

A lone elephant in the arid plains as a storm brews.",elephant,dry plains,stormy,Single
Two elephants in the dry plains during a stormy weather.,elephant,dry plains,stormy,Two
Three elephants in the dry plains during a stormy weather.,elephant,dry plains,stormy,Three
"

Multiple elephants in the dry plains during a stormy weather.",elephant,dry plains,stormy,Multiple
"

A lone elephant in the dry plains amidst foggy weather.",elephant,dry plains,foggy,Single
Two elephants in the dry plains under foggy conditions.,elephant,dry plains,foggy,Two
Three elephants in the dry plains under foggy conditions.,elephant,dry plains,foggy,Three
"

A herd of elephants in the dry plains under a foggy sky.",elephant,dry plains,foggy,Multiple
"

A lone elephant in the arid plains, surrounded by dusty terrain, as the wind whips through the air.",elephant,dry plains,windy,Single
Two elephants in the dry plains under windy conditions.,elephant,dry plains,windy,Two
Three elephants in the dry plains under a windy sky.,elephant,dry plains,windy,Three
"

Multiple elephants in the dry plains under windy conditions.",elephant,dry plains,windy,Multiple
"

A lone elephant in the arid plains under a clear sky.",elephant,dry plains,clear,Single
Two elephants in the dry plains under clear skies.,elephant,dry plains,clear,Two
Three elephants in the dry plains under clear skies.,elephant,dry plains,clear,Three
"

Multiple elephants in the dry plains under clear skies.",elephant,dry plains,clear,Multiple
"

A lone elephant in the arid plains during the dry season.",elephant,dry plains,dry season,Single
Two elephants in the dry plains during the dry season.,elephant,dry plains,dry season,Two
Three elephants in the dry plains during the dry season.,elephant,dry plains,dry season,Three
"

Multiple elephants in the dry plains under the scorching sun.",elephant,dry plains,dry season,Multiple
"

A solitary elephant in the dry plains during a wet season rain.",elephant,dry plains,wet season,Single
Two elephants in the dry plains during a wet season.,elephant,dry plains,wet season,Two
Three elephants in the dry plains during a wet season.,elephant,dry plains,wet season,Three
"

Multiple elephants in the dry plains during the wet season.",elephant,dry plains,wet season,Multiple
"

A single elephant in the wetlands under a sunny sky.",elephant,wetlands,sunny,Single
Two elephants in the wetlands under a sunny sky.,elephant,wetlands,sunny,Two
Three elephants in the wetlands under a sunny sky.,elephant,wetlands,sunny,Three
"

A herd of eleven elephants in the wetlands under a sunny sky.",elephant,wetlands,sunny,Multiple
"

A lone elephant in the wetlands amidst overcast skies.",elephant,wetlands,cloudy,Single
Two elephants in the wetlands under cloudy weather.,elephant,wetlands,cloudy,Two
Three elephants in the wetlands under cloudy weather.,elephant,wetlands,cloudy,Three
"

Multiple elephants in the wetlands under cloudy weather.",elephant,wetlands,cloudy,Multiple
"

A lone elephant wading through the wetlands in the rain.",elephant,wetlands,rainy,Single
Two elephants in the wetlands during rainy weather.,elephant,wetlands,rainy,Two
Three elephants in the wetlands during a rainy day.,elephant,wetlands,rainy,Three
"

A herd of eleven elephants in the wetlands during a rainy day.",elephant,wetlands,rainy,Multiple
"

A lone elephant wades through the wetlands as a storm rages overhead.",elephant,wetlands,stormy,Single
Two elephants in the wetlands during a storm.,elephant,wetlands,stormy,Two
Three elephants in the wetlands during a stormy weather.,elephant,wetlands,stormy,Three
"

Multiple elephants in the wetlands during a stormy weather.",elephant,wetlands,stormy,Multiple
"

A lone elephant in the foggy wetlands.",elephant,wetlands,foggy,Single
Two elephants in the wetlands shrouded in fog.,elephant,wetlands,foggy,Two
Three elephants in the foggy wetlands.,elephant,wetlands,foggy,Three
"

Multiple elephants in the wetlands shrouded by fog.",elephant,wetlands,foggy,Multiple
"

A lone elephant in the wetlands amidst windy weather.",elephant,wetlands,windy,Single
Two elephants in the wetlands amidst windy weather.,elephant,wetlands,windy,Two
Three elephants in the wetlands amidst windy weather.,elephant,wetlands,windy,Three
"

Multiple elephants in the wetlands under windy conditions.",elephant,wetlands,windy,Multiple
"

A single elephant in the wetlands under clear skies.",elephant,wetlands,clear,Single
Two elephants in the wetlands under clear skies.,elephant,wetlands,clear,Two
Three elephants in the wetlands under clear skies.,elephant,wetlands,clear,Three
"

Multiple elephants in the wetlands under clear weather.",elephant,wetlands,clear,Multiple
"

A lone elephant in the wetlands during the dry season.",elephant,wetlands,dry season,Single
Two elephants in the wetlands during the dry season.,elephant,wetlands,dry season,Two
Three elephants in the wetlands during the dry season.,elephant,wetlands,dry season,Three
"

Multiple elephants in a wetland during the dry season.",elephant,wetlands,dry season,Multiple
"

A lone elephant wading through a wetlands, raindrops glistening on its gray hide.",elephant,wetlands,wet season,Single
Two elephants in the wetlands during the wet season.,elephant,wetlands,wet season,Two
Three elephants in the wetlands during the wet season.,elephant,wetlands,wet season,Three
"

Multiple elephants in a wetlands during the wet season.",elephant,wetlands,wet season,Multiple
"

A single elephant in the sun-kissed bushland.",elephant,bushland,sunny,Single
Two elephants in the sunny bushland.,elephant,bushland,sunny,Two
Three elephants in the sunny bushland.,elephant,bushland,sunny,Three
"

A herd of eleven elephants in the sun-kissed bushland.",elephant,bushland,sunny,Multiple
"

A solitary elephant in the bushland under overcast skies.",elephant,bushland,cloudy,Single
Two elephants in the bushland under cloudy weather.,elephant,bushland,cloudy,Two
Three elephants in the bushland under cloudy weather.,elephant,bushland,cloudy,Three
"

A herd of eleven elephants in the misty bushland.",elephant,bushland,cloudy,Multiple
"

A single elephant in the rain-soaked bushland.",elephant,bushland,rainy,Single
Two elephants in the rainy bushland.,elephant,bushland,rainy,Two
Three elephants in the rainy bushland.,elephant,bushland,rainy,Three
"

A herd of eleven elephants in the rain-soaked bushland.",elephant,bushland,rainy,Multiple
"

A lone elephant in the bushland amidst a stormy weather.",elephant,bushland,stormy,Single
Two elephants in the bushland during a storm.,elephant,bushland,stormy,Two
Three elephants in the bushland during a storm.,elephant,bushland,stormy,Three
"

A herd of eleven elephants in the stormy bushland.",elephant,bushland,stormy,Multiple
"

A lone elephant in the foggy bushland.",elephant,bushland,foggy,Single
Two elephants in the bushland shrouded in fog.,elephant,bushland,foggy,Two
Three elephants in the foggy bushland.,elephant,bushland,foggy,Three
"

A herd of eleven elephants in the foggy bushland.",elephant,bushland,foggy,Multiple
"

A solitary elephant in the bushland amidst windy conditions.",elephant,bushland,windy,Single
Two elephants in the bushland during a windy day.,elephant,bushland,windy,Two
Three elephants in the bushland during a windy day.,elephant,bushland,windy,Three
"

A herd of eleven elephants in the windy bushland.",elephant,bushland,windy,Multiple
"

A single elephant in the bushland under clear skies.",elephant,bushland,clear,Single
Two elephants in the bushland under clear skies.,elephant,bushland,clear,Two
Three elephants in the bushland with clear weather.,elephant,bushland,clear,Three
"

Clear day in the bushland, home to ten elephants.",elephant,bushland,clear,Multiple
"

A solitary elephant in the arid bushland during the dry season.",elephant,bushland,dry season,Single
Two elephants in the bushland during the dry season.,elephant,bushland,dry season,Two
Three elephants in the bushland during the dry season.,elephant,bushland,dry season,Three
"

Elephants in a bushland during a dry season.",elephant,bushland,dry season,Multiple
"

A solitary elephant in the bushland during the wet season.",elephant,bushland,wet season,Single
Two elephants in the bushland during the wet season.,elephant,bushland,wet season,Two
Three elephants in the bushland during the wet season.,elephant,bushland,wet season,Three
"

Elephants in a bushland during the wet season.",elephant,bushland,wet season,Multiple
"

A single elephant in the national park under a sunny sky.",elephant,national park,sunny,Single
Two elephants in a national park under sunny weather.,elephant,national park,sunny,Two
Three elephants in a national park under a sunny sky.,elephant,national park,sunny,Three
"

A sunny day in the national park with ten elephants.",elephant,national park,sunny,Multiple
"

A solitary elephant in the national park under cloudy skies.",elephant,national park,cloudy,Single
Two elephants in a national park under cloudy weather.,elephant,national park,cloudy,Two
Three elephants in a national park under cloudy weather.,elephant,national park,cloudy,Three
"

A herd of eleven elephants in a national park under cloudy weather.",elephant,national park,cloudy,Multiple
"

A solitary elephant in the rain-soaked national park.",elephant,national park,rainy,Single
Two elephants in a national park during rainy weather.,elephant,national park,rainy,Two
Three elephants in a national park during rainy weather.,elephant,national park,rainy,Three
"

In a national park, eleven elephants wade through a muddy puddle during a rain shower.",elephant,national park,rainy,Multiple
"

A lone elephant in the national park amidst a stormy weather.",elephant,national park,stormy,Single
Two elephants in a national park during a storm.,elephant,national park,stormy,Two
Three elephants in a national park during a stormy weather.,elephant,national park,stormy,Three
"

In a national park, a herd of elephants huddled together during a storm, their massive forms silhouetted against the dark, turbulent sky. The rain pounded relentlessly on their gray, wrink",elephant,national park,stormy,Multiple
"

A lone elephant in the foggy national park.",elephant,national park,foggy,Single
Two elephants in a national park shrouded in fog.,elephant,national park,foggy,Two
Three elephants in a national park shrouded in fog.,elephant,national park,foggy,Three
"

A herd of eleven elephants in a foggy national park.",elephant,national park,foggy,Multiple
"

A lone elephant in the national park amidst windy conditions.",elephant,national park,windy,Single
Two elephants in a national park during windy weather.,elephant,national park,windy,Two
Three elephants in a national park with windy weather.,elephant,national park,windy,Three
"

A herd of eleven elephants in a windy national park.",elephant,national park,windy,Multiple
"

A single elephant in the national park under clear skies.",elephant,national park,clear,Single
Two elephants in a national park under clear skies.,elephant,national park,clear,Two
Three elephants in a national park under clear skies.,elephant,national park,clear,Three
"

Clear day in the national park, eleven elephants in a herd.",elephant,national park,clear,Multiple
"

A lone elephant in a national park during the dry season.",elephant,national park,dry season,Single
Two elephants in a national park during the dry season.,elephant,national park,dry season,Two
Three elephants in a national park during the dry season.,elephant,national park,dry season,Three
"

Elephants in a national park during the dry season, under a clear, sunny sky. Six elephants with their large ears flapping gently, wandering through the arid landscape in search of water.",elephant,national park,dry season,Multiple
"

A lone elephant in a national park during the wet season, wading through muddy waters.",elephant,national park,wet season,Single
Two elephants in a national park during the wet season.,elephant,national park,wet season,Two
Three elephants in a national park during the wet season.,elephant,national park,wet season,Three
"

Elephants in a national park during the wet season, huddled under trees with rain-soaked foliage.",elephant,national park,wet season,Multiple
"

A lone elephant in the open plains under the bright, sunny sky.",elephant,open plains,sunny,Single
Two elephants in the open plains under a sunny sky.,elephant,open plains,sunny,Two
Three elephants in the open plains under a sunny sky.,elephant,open plains,sunny,Three
"

A herd of eleven elephants roaming the sun-kissed African plains.",elephant,open plains,sunny,Multiple
"

A lone elephant in the open plains under overcast skies.",elephant,open plains,cloudy,Single
Two elephants in the open plains under cloudy weather.,elephant,open plains,cloudy,Two
Three elephants in the open plains under cloudy skies.,elephant,open plains,cloudy,Three
"

A herd of eleven elephants roaming the open plains under an overcast sky.",elephant,open plains,cloudy,Multiple
"

A lone elephant in the open plains amidst a rain shower.",elephant,open plains,rainy,Single
Two elephants in the open plains during rainy weather.,elephant,open plains,rainy,Two
Three elephants in the rain-soaked open plains.,elephant,open plains,rainy,Three
